n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	0
23	1
24	4
25	2
26	9
27	4
28	8
29	12
30	19
31	16
32	30
33	28
34	35
35	34
36	46
37	42
38	49
39	46
40	55
41	44
42	43
43	57
44	51
45	40
46	52
47	57
48	54
49	68
50	58
51	51
52	62
53	62
54	71
55	52
56	65
57	53
58	54
59	61
60	67
61	68
62	52
63	81
64	83
65	79
66	79
67	81
68	59
69	72
70	73
71	79
72	60
73	80
74	84
75	87
76	100
77	100
78	90
79	98
80	103
81	88
82	102
83	131
84	126
85	131
86	144
87	133
88	147
89	113
90	138
91	120
92	138
93	122
94	113
95	125
96	148
97	151
98	159
99	240
100	410
101	751
102	1402
103	2442
104	3767
105	4809
106	5169
107	4819
108	4205
109	3746
110	3428
111	3455
112	3696
113	3732
114	3599
115	3335
116	2924
117	2455
118	2043
119	1528
120	1140
121	824
122	574
123	374
124	307
125	271
126	247
127	228
128	176
129	131
130	116
131	76
132	61
133	54
134	27
135	23
136	21
137	19
138	19
139	8
140	14
141	14
142	20
143	8
144	18
145	15
146	10
147	12
148	14
149	13
150	13
151	14
152	7
153	11
154	7
155	7
156	10
157	12
158	11
159	18
160	20
161	21
162	22
163	18
164	32
165	33
166	30
167	34
168	36
169	39
170	42
171	41
172	46
173	29
174	38
175	32
176	28
177	33
178	23
179	23
180	26
181	18
182	21
183	19
184	13
185	10
186	15
187	22
188	11
189	15
190	8
191	10
192	5
193	13
194	15
195	10
196	12
197	11
198	9
199	9
200	16
201	7
202	11
203	14
204	10
205	10
206	10
207	6
208	9
209	8
210	9
211	9
212	9
213	8
214	11
215	5
216	8
217	6
218	15
219	7
220	5
221	13
222	8
223	10
224	3
225	5
226	3
227	4
228	5
229	2
230	1
231	4
232	2
233	3
234	3
235	3
236	3
237	2
238	1
239	2
240	0
241	0
242	1
243	1
244	0
245	0
246	1
247	2
248	1
249	1
250	1
251	1
252	1
253	3
254	1
255	3
256	0
257	1
258	0
259	1
260	2
261	0
262	1
263	0
264	0
265	0
266	0
267	0
268	0
269	1
270	0
271	0
272	1
273	1
274	1
275	2
276	0
277	4
278	1
279	1
280	0
281	0
282	2
283	0
284	1
285	0
286	1
287	0
288	1
289	0
290	1
291	0
292	0
293	0
294	0
295	1
296	1
297	0
298	1
299	0
300	1
301	0
302	0
303	1
304	0
305	0
306	0
307	0
308	0
309	0
310	1
311	1
312	0
313	0
314	0
315	1
316	0
317	0
318	0
319	0
320	0
321	0
322	1
323	0
324	1
325	1
326	1
327	0
328	1
329	1
330	0
331	0
332	1
333	1
334	1
335	0
336	0
337	0
338	1
339	0
340	0
341	0
342	1
343	1
344	0
345	0
346	1
347	0
348	1
349	1
350	0
351	0
352	0
353	0
354	0
355	2
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	1
375	0
376	0
377	0
378	0
379	0
380	1
381	0
382	1
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	1
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
