n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	1
23	0
24	6
25	6
26	11
27	21
28	31
29	40
30	51
31	69
32	84
33	129
34	118
35	161
36	175
37	167
38	197
39	184
40	184
41	206
42	199
43	195
44	206
45	193
46	177
47	201
48	200
49	195
50	213
51	216
52	214
53	222
54	217
55	209
56	239
57	230
58	224
59	245
60	247
61	264
62	305
63	271
64	369
65	427
66	563
67	580
68	619
69	631
70	645
71	708
72	829
73	1005
74	1043
75	1035
76	1057
77	912
78	835
79	782
80	695
81	760
82	720
83	761
84	765
85	749
86	893
87	1171
88	1948
89	3135
90	4077
91	4887
92	5108
93	4403
94	3645
95	2920
96	2272
97	1774
98	1336
99	1180
100	1032
101	937
102	910
103	845
104	783
105	736
106	608
107	468
108	358
109	263
110	249
111	175
112	144
113	111
114	131
115	104
116	141
117	113
118	83
119	94
120	88
121	45
122	58
123	48
124	40
125	40
126	29
127	48
128	45
129	29
130	40
131	41
132	38
133	36
134	28
135	39
136	32
137	36
138	47
139	44
140	45
141	53
142	33
143	33
144	31
145	32
146	28
147	39
148	34
149	39
150	24
151	33
152	36
153	38
154	24
155	27
156	25
157	24
158	26
159	19
160	25
161	23
162	25
163	15
164	16
165	18
166	15
167	22
168	23
169	15
170	11
171	14
172	17
173	16
174	14
175	14
176	6
177	18
178	25
179	21
180	18
181	16
182	22
183	14
184	16
185	16
186	10
187	16
188	11
189	6
190	9
191	15
192	10
193	7
194	8
195	10
196	9
197	7
198	8
199	9
200	9
201	7
202	5
203	5
204	10
205	8
206	6
207	12
208	5
209	9
210	9
211	8
212	12
213	10
214	2
215	7
216	8
217	6
218	7
219	5
220	4
221	5
222	6
223	6
224	7
225	6
226	10
227	2
228	7
229	3
230	6
231	7
232	7
233	4
234	7
235	6
236	6
237	3
238	4
239	3
240	5
241	4
242	8
243	0
244	4
245	5
246	2
247	3
248	4
249	8
250	4
251	3
252	3
253	5
254	1
255	2
256	5
257	5
258	3
259	5
260	1
261	9
262	3
263	0
264	5
265	1
266	4
267	1
268	0
269	1
270	2
271	1
272	3
273	1
274	0
275	2
276	4
277	1
278	4
279	0
280	5
281	1
282	4
283	3
284	2
285	2
286	3
287	1
288	4
289	3
290	2
291	1
292	1
293	3
294	0
295	1
296	2
297	2
298	4
299	2
300	1
301	2
302	2
303	0
304	2
305	6
306	1
307	2
308	1
309	1
310	4
311	5
312	0
313	1
314	2
315	1
316	1
317	1
318	0
319	0
320	1
321	0
322	3
323	3
324	1
325	0
326	1
327	3
328	1
329	3
330	0
331	1
332	0
333	2
334	2
335	1
336	1
337	0
338	2
339	2
340	2
341	0
342	0
343	2
344	0
345	0
346	1
347	1
348	1
349	0
350	0
351	0
352	0
353	0
354	1
355	0
356	4
357	0
358	0
359	0
360	0
361	1
362	1
363	1
364	2
365	2
366	2
367	0
368	2
369	2
370	1
371	0
372	0
373	2
374	0
375	0
376	0
377	0
378	0
379	1
380	1
381	0
382	0
383	0
384	0
385	0
386	0
387	1
388	0
389	1
390	1
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	1
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
