,t_165_u2_2.5.txt,t_165_u2_3.0.txt,t_165_u2_3.5.txt,t_165_u2_4.0.txt,u2_2.5_t_165.txt,u2_2.5_t_172.txt,u2_2.5_t_179.txt,u2_2.5_t_186.txt
0,4.549193691291437,4.6828296103057045,4.709878756387743,4.876026961278182,4.54189814397699,4.496604536452285,4.63301032851537,4.693240470884982
1,4.80176139726073,4.825242677073909,4.791514888389088,4.72851840662052,4.6981782759918325,4.7018604198829195,4.459311309914668,4.321140691004473
2,4.939357587810196,4.978927073647146,4.956405363042503,4.971792544413777,4.9250280095199805,4.908435808111292,4.701522827258017,4.652872706833282
3,5.0274653707041566,5.051799841125167,5.098655720454627,5.112425397105444,4.977266357469276,4.9990385992380375,4.82342751617789,4.788635915321933
4,5.118320406948747,5.116009301865194,5.05808614059519,5.069490090950151,4.947861985504666,5.087797956581696,4.784179731977122,4.734584653982235
mean,4.887219690803053,4.930961700803424,4.9229081737738305,4.951650680073614,4.818046554492549,4.838747464053246,4.680290342768614,4.638094887605382
std,0.2699107156590133,0.2337063323994098,0.23651679367654085,0.23984922193325564,0.2329978220367416,0.2837008204972379,0.19385682747629762,0.24685985717934084
