,t_165_u2_2.5.txt,t_165_u2_3.0.txt,t_165_u2_3.5.txt,t_165_u2_4.0.txt,u2_2.5_t_165.txt
0,11.982318453186576,11.971197719682339,12.083629099018653,12.105132282290018,12.006550593737384
1,16.55084983645883,16.65688194959939,16.79985397296626,17.02042662466889,16.56480580742454
2,21.338100893081137,21.495591370183284,21.631462320900994,21.784495870235897,21.258322505738164
3,26.27402117778793,26.450174520522406,26.579299068274246,26.757905147329637,26.171917293890743
4,31.293573039542874,31.49700259891123,31.666798521670287,31.837908426207743,31.14796070923695
5,36.404480967939335,36.61828152268404,36.739744907831906,36.92109722066056,36.11163330163813
