# resolution = 200, averages = 50
# angle	intensity
40.070 1.94950
40.094 1.97171
40.119 1.99210
40.144 2.01343
40.169 2.02888
40.193 2.04139
40.218 2.07187
40.243 2.10665
40.267 2.13808
40.292 2.12487
40.317 2.12485
40.341 2.16057
40.366 2.18266
40.391 2.19541
40.416 2.21006
40.440 2.23568
40.465 2.25438
40.490 2.28525
40.514 2.29865
40.539 2.30992
40.564 2.33915
40.589 2.36858
40.613 2.38949
40.638 2.39931
40.663 2.42698
40.687 2.45648
40.712 2.46786
40.737 2.46926
40.762 2.47923
40.786 2.48434
40.811 2.50188
40.836 2.55055
40.861 2.61859
40.885 2.66866
40.910 2.66288
40.935 2.64734
40.960 2.66332
40.984 2.69173
41.009 2.72344
41.034 2.77318
41.058 2.81301
41.083 2.86300
41.108 2.89918
41.133 2.93882
41.157 2.97531
41.182 3.00639
41.207 3.04798
41.232 3.06266
41.256 3.12501
41.281 3.20973
41.306 3.27704
41.331 3.32470
41.355 3.38014
41.380 3.44546
41.405 3.49176
41.430 3.52491
41.454 3.61386
41.479 3.70385
41.504 3.80678
41.529 3.90619
41.553 3.96198
41.578 3.99951
41.603 4.00141
41.628 4.01158
41.652 4.03403
41.677 4.07134
41.702 4.09693
41.727 4.12607
41.752 4.15691
41.776 4.16243
41.801 4.09419
41.826 4.04267
41.851 4.06279
41.875 4.09672
41.900 4.12596
41.925 4.10490
41.950 4.06380
41.974 4.04546
41.999 4.04056
42.024 4.02068
42.049 4.02105
42.074 4.05128
42.098 4.07784
42.123 4.10353
42.148 4.10954
42.173 4.09570
42.197 4.09699
42.222 4.09874
42.247 4.09341
42.272 4.09577
42.296 4.12095
42.321 4.12508
42.346 4.11835
42.371 4.10697
42.396 4.10858
42.420 4.08367
42.445 4.05735
42.470 4.08990
42.495 4.08128
42.520 4.10260
42.544 4.12173
42.569 4.10648
42.594 4.10062
42.619 4.12316
42.643 4.11342
42.668 4.09738
42.693 4.08182
42.718 4.09931
42.743 4.07530
42.767 4.04193
42.792 4.08067
42.817 4.07146
42.842 4.07405
42.867 4.03177
42.891 4.04720
42.916 4.08289
42.941 4.11551
42.966 4.12863
42.991 4.08500
43.015 4.07401
43.040 4.06679
43.065 4.12039
43.090 4.16394
43.115 4.14822
43.139 4.12028
43.164 4.08757
43.189 4.09280
43.214 4.09025
43.239 4.04197
43.263 4.07298
43.288 4.10544
43.313 4.09239
43.338 4.13014
43.363 4.15574
43.387 4.08600
43.412 4.03543
43.437 4.03136
43.462 4.05913
43.487 4.09217
43.511 4.11384
43.536 4.10735
43.561 4.08833
43.586 4.07116
43.611 4.10672
43.635 4.12972
43.660 4.11721
43.685 4.08592
43.710 4.10238
43.735 4.13222
43.759 4.12160
43.784 4.10216
43.809 4.06853
43.834 4.06960
43.859 4.11409
43.883 4.19308
43.908 4.22552
43.933 4.23400
43.958 4.21258
43.983 4.18374
44.007 4.13084
44.032 4.12396
44.057 4.16460
44.082 4.19209
44.107 4.23416
44.132 4.24443
44.156 4.27720
44.181 4.28647
44.206 4.28620
44.231 4.23703
44.256 4.18465
44.280 4.22697
44.305 4.25665
44.330 4.25968
44.355 4.25139
44.380 4.25247
44.404 4.28853
44.429 4.29280
44.454 4.33604
44.479 4.38344
44.504 4.37177
44.529 4.35033
44.553 4.36877
44.578 4.37721
44.603 4.42429
44.628 4.41658
44.653 4.43815
44.677 4.47028
44.702 4.51145
44.727 4.47333
44.752 4.50393
44.777 4.52127
44.801 4.48822
44.826 4.46050
44.851 4.48063
44.876 4.51290
44.901 4.49235
44.926 4.53001
44.950 4.53327
44.975 4.64700
45.000 4.64836
