# resolution = 200, averages = 50
# angle	intensity
40.070 2.93279
40.094 2.94905
40.119 2.96568
40.144 2.96418
40.169 2.94415
40.193 2.93488
40.218 2.95651
40.243 2.96676
40.267 2.97978
40.292 2.98955
40.317 2.95966
40.341 2.91995
40.366 2.91393
40.391 2.91629
40.416 2.91975
40.440 2.90292
40.465 2.88327
40.490 2.89450
40.514 2.90631
40.539 2.92845
40.564 2.93301
40.589 2.91779
40.613 2.88565
40.638 2.85320
40.663 2.84774
40.687 2.85564
40.712 2.85562
40.737 2.86379
40.762 2.88500
40.786 2.89455
40.811 2.88001
40.836 2.84859
40.861 2.83216
40.885 2.80184
40.910 2.77575
40.935 2.76024
40.960 2.76850
40.984 2.78902
41.009 2.79994
41.034 2.79891
41.058 2.78153
41.083 2.76046
41.108 2.75436
41.133 2.75237
41.157 2.75204
41.182 2.77309
41.207 2.78567
41.232 2.76801
41.256 2.78214
41.281 2.76310
41.306 2.76279
41.331 2.76786
41.355 2.74233
41.380 2.75782
41.405 2.77591
41.430 2.77210
41.454 2.75639
41.479 2.73888
41.504 2.72043
41.529 2.74016
41.553 2.75240
41.578 2.77188
41.603 2.76134
41.628 2.77324
41.652 2.78275
41.677 2.79429
41.702 2.82048
41.727 2.82560
41.752 2.81080
41.776 2.80019
41.801 2.79113
41.826 2.83077
41.851 2.82966
41.875 2.83209
41.900 2.84332
41.925 2.82870
41.950 2.82096
41.974 2.83712
41.999 2.84288
42.024 2.86892
42.049 2.87294
42.074 2.83510
42.098 2.82410
42.123 2.85099
42.148 2.84421
42.173 2.87207
42.197 2.87056
42.222 2.84784
42.247 2.83553
42.272 2.84379
42.296 2.86954
42.321 2.89855
42.346 2.90734
42.371 2.88932
42.396 2.86841
42.420 2.86546
42.445 2.89997
42.470 2.91452
42.495 2.96161
42.520 2.95632
42.544 2.95641
42.569 2.93283
42.594 2.89395
42.619 2.88285
42.643 2.91678
42.668 2.94222
42.693 2.90031
42.718 2.87029
42.743 2.87482
42.767 2.92455
42.792 2.93682
42.817 2.92872
42.842 2.87395
42.867 2.89159
42.891 2.94369
42.916 2.97839
42.941 2.97989
42.966 2.96957
42.991 2.93344
43.015 2.95150
43.040 2.98418
43.065 2.96757
43.090 2.97309
43.115 2.98701
43.139 2.97894
43.164 2.99710
43.189 3.01384
43.214 3.00556
43.239 3.00940
43.263 3.02075
43.288 3.05332
43.313 3.07878
43.338 3.10220
43.363 3.09275
43.387 3.08904
43.412 3.08376
43.437 3.11972
43.462 3.15038
43.487 3.15086
43.511 3.13608
43.536 3.15930
43.561 3.15256
43.586 3.17925
43.611 3.11175
43.635 3.13106
43.660 3.18721
43.685 3.20260
43.710 3.22993
43.735 3.21192
43.759 3.20133
43.784 3.19930
43.809 3.20418
43.834 3.18218
43.859 3.18102
43.883 3.21836
43.908 3.27474
43.933 3.28393
43.958 3.24890
43.983 3.22376
44.007 3.23772
44.032 3.26147
44.057 3.28877
44.082 3.31945
44.107 3.35054
44.132 3.34188
44.156 3.32064
44.181 3.33981
44.206 3.31384
44.231 3.32987
44.256 3.31190
44.280 3.35270
44.305 3.39130
44.330 3.39036
44.355 3.36287
44.380 3.37519
44.404 3.41915
44.429 3.38110
44.454 3.36910
44.479 3.40162
44.504 3.39637
44.529 3.44992
44.553 3.43633
44.578 3.45756
44.603 3.46608
44.628 3.48313
44.653 3.48321
44.677 3.46153
44.702 3.48004
44.727 3.50145
44.752 3.48931
44.777 3.51137
44.801 3.46780
44.826 3.47684
44.851 3.48817
44.876 3.51990
44.901 3.53345
44.926 3.47086
44.950 3.45812
44.975 3.46182
45.000 3.43921
