# resolution = 200, averages = 20
# angle	intensity
40.070 1.97402
40.094 1.99620
40.119 2.02330
40.144 2.03185
40.169 2.03195
40.193 2.06031
40.218 2.08947
40.243 2.11281
40.267 2.10062
40.292 2.12223
40.317 2.13267
40.341 2.17012
40.366 2.19135
40.391 2.21197
40.416 2.22287
40.440 2.23349
40.465 2.27395
40.490 2.27075
40.514 2.29597
40.539 2.33560
40.564 2.35143
40.589 2.37381
40.613 2.39644
40.638 2.43585
40.663 2.45423
40.687 2.46130
40.712 2.45923
40.737 2.46953
40.762 2.47799
40.786 2.50404
40.811 2.55202
40.836 2.61792
40.861 2.64864
40.885 2.63069
40.910 2.61621
40.935 2.64629
40.960 2.66275
40.984 2.69229
41.009 2.75226
41.034 2.79828
41.058 2.83815
41.083 2.88220
41.108 2.94850
41.133 2.94456
41.157 2.97613
41.182 2.98344
41.207 2.99507
41.232 3.07630
41.256 3.17793
41.281 3.24705
41.306 3.30695
41.331 3.35961
41.355 3.40294
41.380 3.43485
41.405 3.48857
41.430 3.56407
41.454 3.67706
41.479 3.77410
41.504 3.87642
41.529 3.96459
41.553 3.99937
41.578 4.00303
41.603 4.01324
41.628 4.04460
41.652 4.09979
41.677 4.14052
41.702 4.17219
41.727 4.19323
41.752 4.14798
41.776 4.09447
41.801 4.07549
41.826 4.08189
41.851 4.12551
41.875 4.13870
41.900 4.11243
41.925 4.05855
41.950 4.04330
41.974 4.01760
41.999 4.03574
42.024 4.07880
42.049 4.11401
42.074 4.15832
42.098 4.17843
42.123 4.15866
42.148 4.13712
42.173 4.08643
42.197 4.11783
42.222 4.10438
42.247 4.14350
42.272 4.11710
42.296 4.12355
42.321 4.11076
42.346 4.15798
42.371 4.12005
42.396 4.10294
42.420 4.12348
42.445 4.12954
42.470 4.11022
42.495 4.16820
42.520 4.15576
42.544 4.11749
42.569 4.14138
42.594 4.15270
42.619 4.13725
42.643 4.12672
42.668 4.13998
42.693 4.12604
42.718 4.08284
42.743 4.09294
42.767 4.09520
42.792 4.11755
42.817 4.06994
42.842 4.07298
42.867 4.11240
42.891 4.14579
42.916 4.16813
42.941 4.14170
42.966 4.12780
42.991 4.11100
43.015 4.11098
43.040 4.16844
43.065 4.14919
43.090 4.15871
43.115 4.12868
43.139 4.13555
43.164 4.12822
43.189 4.08447
43.214 4.08566
43.239 4.09270
43.263 4.10520
43.288 4.14502
43.313 4.17525
43.338 4.12625
43.363 4.07989
43.387 4.06701
43.412 4.08068
43.437 4.11665
43.462 4.12353
43.487 4.11850
43.511 4.09608
43.536 4.07150
43.561 4.11027
43.586 4.14756
43.611 4.14929
43.635 4.15438
43.660 4.16641
43.685 4.17620
43.710 4.15827
43.735 4.11034
43.759 4.08212
43.784 4.09205
43.809 4.10621
43.834 4.18496
43.859 4.23147
43.883 4.24624
43.908 4.23310
43.933 4.21763
43.958 4.15860
43.983 4.13801
44.007 4.17432
44.032 4.21447
44.057 4.26286
44.082 4.28136
44.107 4.28390
44.132 4.31882
44.156 4.32059
44.181 4.25557
44.206 4.20351
44.231 4.21915
44.256 4.28335
44.280 4.27994
44.305 4.25523
44.330 4.25247
44.355 4.30350
44.380 4.32019
44.404 4.35863
44.429 4.41177
44.454 4.38559
44.479 4.38335
44.504 4.39424
44.529 4.37833
44.553 4.42894
44.578 4.44575
44.603 4.47935
44.628 4.43720
44.653 4.50448
44.677 4.46539
44.702 4.50804
44.727 4.50982
44.752 4.52625
44.777 4.48457
44.801 4.48180
44.826 4.49770
44.851 4.51397
44.876 4.51798
44.901 4.55882
44.926 4.61186
44.950 4.62874
44.975 4.59340
45.000 4.61938
