# resolution = 200, averages = 50
# angle	intensity
40.070 3.82450
40.094 3.77602
40.119 3.79949
40.144 3.81702
40.169 3.81745
40.193 3.84383
40.218 3.82378
40.243 3.80716
40.267 3.81139
40.292 3.80332
40.317 3.80023
40.341 3.80346
40.366 3.82004
40.391 3.81601
40.416 3.83603
40.440 3.85785
40.465 3.84879
40.490 3.79329
40.514 3.72849
40.539 3.69802
40.564 3.70090
40.589 3.73339
40.613 3.79622
40.638 3.78711
40.663 3.76914
40.687 3.73835
40.712 3.71842
40.737 3.68903
40.762 3.64244
40.786 3.61873
40.811 3.62978
40.836 3.66489
40.861 3.71697
40.885 3.74605
40.910 3.73447
40.935 3.73499
40.960 3.72543
40.984 3.70885
41.009 3.68607
41.034 3.66482
41.058 3.64081
41.083 3.65703
41.108 3.69809
41.133 3.74856
41.157 3.75454
41.182 3.71307
41.207 3.72135
41.232 3.69681
41.256 3.67244
41.281 3.67144
41.306 3.65676
41.331 3.65491
41.355 3.64657
41.380 3.60977
41.405 3.58841
41.430 3.59752
41.454 3.62231
41.479 3.62944
41.504 3.61627
41.529 3.57151
41.553 3.58297
41.578 3.59648
41.603 3.58006
41.628 3.59644
41.652 3.58986
41.677 3.57750
41.702 3.58560
41.727 3.58917
41.752 3.56516
41.776 3.53810
41.801 3.56739
41.826 3.59703
41.851 3.57664
41.875 3.53710
41.900 3.53234
41.925 3.52901
41.950 3.52134
41.974 3.53118
41.999 3.54005
42.024 3.51984
42.049 3.53548
42.074 3.53634
42.098 3.52459
42.123 3.50383
42.148 3.51225
42.173 3.50142
42.197 3.47582
42.222 3.47521
42.247 3.46302
42.272 3.48703
42.296 3.46649
42.321 3.46833
42.346 3.46603
42.371 3.45108
42.396 3.42548
42.420 3.43438
42.445 3.46423
42.470 3.45245
42.495 3.45151
42.520 3.48499
42.544 3.49942
42.569 3.49366
42.594 3.46986
42.619 3.47088
42.643 3.47196
42.668 3.47571
42.693 3.46095
42.718 3.47927
42.743 3.48352
42.767 3.47964
42.792 3.48512
42.817 3.47606
42.842 3.49067
42.867 3.50829
42.891 3.52729
42.916 3.52389
42.941 3.51022
42.966 3.53159
42.991 3.52048
43.015 3.51513
43.040 3.49722
43.065 3.48767
43.090 3.52109
43.115 3.51732
43.139 3.52522
43.164 3.56872
43.189 3.55578
43.214 3.56191
43.239 3.53990
43.263 3.49402
43.288 3.49442
43.313 3.51444
43.338 3.48252
43.363 3.51504
43.387 3.52830
43.412 3.51035
43.437 3.51033
43.462 3.53250
43.487 3.53853
43.511 3.56517
43.536 3.57594
43.561 3.56550
43.586 3.52954
43.611 3.53566
43.635 3.52533
43.660 3.56328
43.685 3.54360
43.710 3.54642
43.735 3.51128
43.759 3.53214
43.784 3.56346
43.809 3.57663
43.834 3.55034
43.859 3.52405
43.883 3.51158
43.908 3.59757
43.933 3.65826
43.958 3.68271
43.983 3.67101
44.007 3.63183
44.032 3.60553
44.057 3.56772
44.082 3.55989
44.107 3.58370
44.132 3.58371
44.156 3.62674
44.181 3.65270
44.206 3.67748
44.231 3.66766
44.256 3.67546
44.280 3.64563
44.305 3.66973
44.330 3.72724
44.355 3.76165
44.380 3.77259
44.404 3.73123
44.429 3.71596
44.454 3.70811
44.479 3.70842
44.504 3.80222
44.529 3.81890
44.553 3.80284
44.578 3.76024
44.603 3.81884
44.628 3.80899
44.653 3.80696
44.677 3.85480
44.702 3.85325
44.727 3.90764
44.752 3.87417
44.777 3.84734
44.801 3.84781
44.826 3.85034
44.851 3.84525
44.876 3.80785
44.901 3.77156
44.926 3.74305
44.950 3.71745
44.975 3.74081
45.000 3.70016
