&a / 	I1 /
5.459	0.3
5.454	0.3
5.449	0.3
5.443	0.3
5.438	0.3
5.433	0.3
5.428	0.3
5.422	0.3
5.417	0.3
5.412	0.3
5.406	0.3
5.401	0.3
5.396	0.3
5.390	0.3
5.385	0.3
5.380	0.3
5.375	0.3
5.369	0.3
5.364	0.3
5.359	0.3
5.353	0.3
5.348	0.3
5.343	0.3
5.337	0.3
5.332	0.3
5.327	0.3
5.322	0.3
5.316	0.3
5.311	0.3
5.306	0.3
5.300	0.3
5.295	0.3
5.290	0.3
5.284	0.3
5.279	0.4
5.274	0.4
5.269	0.4
5.263	0.4
5.258	0.4
5.253	0.4
5.247	0.4
5.242	0.4
5.237	0.4
5.231	0.4
5.226	0.4
5.221	0.4
5.216	0.4
5.210	0.4
5.205	0.4
5.200	0.4
5.194	0.4
5.189	0.4
5.184	0.4
5.178	0.4
5.173	0.4
5.168	0.4
5.162	0.4
5.157	0.4
5.152	0.4
5.147	0.4
5.141	0.4
5.136	0.4
5.131	0.4
5.125	0.4
5.120	0.4
5.115	0.4
5.109	0.4
5.104	0.4
5.099	0.4
5.094	0.4
5.088	0.4
5.083	0.4
5.078	0.4
5.072	0.4
5.067	0.4
5.062	0.4
5.056	0.4
5.051	0.4
5.046	0.4
5.040	0.4
5.035	0.4
5.030	0.4
5.025	0.4
5.019	0.5
5.014	0.5
5.009	0.5
5.003	0.5
4.998	0.5
4.993	0.5
4.987	0.5
4.982	0.6
4.977	0.6
4.971	0.6
4.966	0.6
4.961	0.6
4.956	0.6
4.950	0.6
4.945	0.7
4.940	0.7
4.934	0.7
4.929	0.7
4.924	0.7
4.918	0.7
4.913	0.7
4.908	0.7
4.902	0.8
4.897	0.8
4.892	0.8
4.887	0.8
4.881	0.8
4.876	0.8
4.871	0.8
4.865	0.8
4.860	0.8
4.855	0.8
4.849	0.8
4.844	0.8
4.839	0.9
4.833	0.9
4.828	0.9
4.823	0.9
4.818	0.9
4.812	0.9
4.807	0.9
4.802	0.9
4.796	1.0
4.791	1.0
4.786	1.2
4.780	1.2
4.775	1.3
4.770	1.3
4.764	1.3
4.759	1.3
4.754	1.4
4.748	1.4
4.743	1.4
4.738	1.4
4.733	1.4
4.727	1.4
4.722	1.5
4.717	1.5
4.711	1.6
4.706	1.6
4.701	1.8
4.695	1.8
4.690	2.1
4.685	2.2
4.679	2.3
4.674	2.4
4.669	2.5
4.663	2.5
4.658	2.6
4.653	2.6
4.648	2.7
4.642	2.7
4.637	2.7
4.632	2.7
4.626	2.8
4.621	2.9
4.616	3.1
4.610	3.4
4.605	3.5
4.600	3.7
4.594	3.9
4.589	4.0
4.584	4.3
4.578	4.4
4.573	4.4
4.568	4.4
4.563	4.4
4.557	4.3
4.552	4.2
4.547	4.1
4.541	4.0
4.536	4.0
4.531	4.1
4.525	4.5
4.520	4.9
4.515	5.2
4.509	5.6
4.504	5.9
4.499	6.3
4.493	6.6
4.488	6.6
4.483	6.6
4.478	6.3
4.472	6.0
4.467	5.6
4.462	5.2
4.456	4.8
4.451	4.7
4.446	5.1
4.440	5.8
4.435	6.4
4.430	6.8
4.424	7.2
4.419	7.8
4.414	8.5
4.408	8.9
4.403	8.7
4.398	8.3
4.392	7.9
4.387	7.7
4.382	7.3
4.377	6.6
4.371	5.8
4.366	5.4
4.361	5.6
4.355	6.4
4.350	7.4
4.345	8.1
4.339	8.5
4.334	8.9
4.329	9.7
4.323	10.5
4.318	10.5
4.313	10.0
4.307	9.3
4.302	9.1
4.297	9.1
4.291	8.4
4.286	7.5
4.281	6.7
4.275	6.5
4.270	6.8
4.265	7.6
4.260	8.7
4.254	9.5
4.249	10.1
4.244	10.9
4.238	12.0
4.233	12.9
4.228	12.9
4.222	12.0
4.217	11.4
4.212	11.1
4.206	10.7
4.201	9.9
4.196	8.7
4.190	7.9
4.185	7.9
4.180	8.4
4.174	8.9
4.169	9.6
4.164	10.3
4.158	11.6
4.153	12.9
4.148	14.0
4.143	14.9
4.137	15.1
4.132	14.6
4.127	14.0
4.121	13.4
4.116	12.8
4.111	11.9
4.105	10.7
4.100	10.0
4.095	10.0
4.089	10.2
4.084	10.8
4.079	11.6
4.073	12.3
4.068	13.3
4.063	14.7
4.057	16.2
4.052	17.0
4.047	17.3
4.041	17.3
4.036	17.2
4.031	17.0
4.025	16.4
4.020	15.4
4.015	14.1
4.009	13.1
4.004	12.5
3.999	12.3
3.994	12.5
3.988	12.9
3.983	13.3
3.978	14.0
3.972	15.3
3.967	17.1
3.962	18.7
3.956	19.3
3.951	19.2
3.946	19.4
3.940	19.8
3.935	19.9
3.930	19.1
3.924	17.9
3.919	16.4
3.914	15.6
3.908	14.9
3.903	14.5
3.898	14.5
3.892	14.7
3.887	14.8
3.882	15.2
3.876	16.3
3.871	18.2
3.866	20.2
3.860	21.4
3.855	21.4
3.850	21.1
3.844	21.5
3.839	22.4
3.834	22.3
3.829	21.0
3.823	19.1
3.818	17.9
3.813	17.2
3.807	17.0
3.802	16.9
3.797	16.7
3.791	16.3
3.786	16.2
3.781	16.6
3.775	17.8
3.770	19.8
3.765	21.6
3.759	22.5
3.754	22.6
3.749	22.7
3.743	23.5
3.738	24.5
3.733	24.8
3.727	23.4
3.722	21.3
3.717	19.4
3.711	18.6
3.706	18.4
3.701	18.4
3.695	18.1
3.690	17.6
3.685	17.2
3.679	17.6
3.674	19.0
3.669	21.2
3.663	23.2
3.658	24.2
3.653	24.3
3.647	24.5
3.642	24.9
3.637	25.5
3.632	25.6
3.626	24.7
3.621	22.8
3.616	20.7
3.610	19.1
3.605	18.7
3.600	18.8
3.594	18.8
3.589	18.4
3.584	17.7
3.578	17.4
3.573	18.0
3.568	20.0
3.562	22.6
3.557	24.6
3.552	25.2
3.546	25.1
3.541	25.4
3.536	26.1
3.530	26.6
3.525	26.0
3.520	24.6
3.514	22.8
3.509	21.3
3.504	20.3
3.498	19.6
3.493	19.3
3.488	19.3
3.482	19.3
3.477	18.8
3.472	18.5
3.466	19.0
3.461	20.6
3.456	23.2
3.450	25.5
3.445	26.4
3.440	26.3
3.434	26.4
3.429	27.2
3.424	28.4
3.418	28.7
3.413	27.3
3.408	24.7
3.402	22.5
3.397	20.9
3.392	20.1
3.386	19.4
3.381	18.6
3.376	18.4
3.370	18.6
3.365	18.5
3.360	18.4
3.354	18.9
3.349	20.3
3.344	22.7
3.338	25.4
3.333	26.6
3.328	26.7
3.322	26.6
3.317	27.3
3.312	28.5
3.306	29.1
3.301	28.0
3.296	25.5
3.291	22.8
3.285	21.0
3.280	19.6
3.275	18.2
3.269	17.0
3.264	16.1
3.259	15.7
3.253	15.8
3.248	16.3
3.243	17.3
3.237	19.1
3.232	21.6
3.227	24.7
3.221	27.0
3.216	27.8
3.211	27.6
3.205	27.7
3.200	28.7
3.195	29.8
3.189	30.1
3.184	28.7
3.179	26.0
3.173	23.3
3.168	21.7
3.163	20.5
3.157	19.3
3.152	18.4
3.147	17.8
3.141	17.7
3.136	18.0
3.131	18.2
3.125	18.6
3.120	19.6
3.115	21.7
3.109	24.7
3.104	27.6
3.099	29.3
3.093	29.3
3.088	28.7
3.083	29.0
3.077	30.2
3.072	31.3
3.067	31.2
3.061	29.2
3.056	26.1
3.051	23.3
3.045	21.8
3.040	21.0
3.035	20.0
3.029	19.1
3.024	18.3
3.019	17.9
3.013	18.0
3.008	18.3
3.003	18.6
2.997	19.4
2.992	21.1
2.987	23.9
2.981	27.1
2.976	29.8
2.971	30.7
2.965	30.2
2.960	29.6
2.955	30.1
2.949	31.4
2.944	32.3
2.939	32.0
2.933	29.7
2.928	26.4
2.923	23.6
2.917	22.0
2.912	21.0
2.907	19.9
2.901	18.7
2.896	17.7
2.891	17.3
2.885	17.5
2.880	18.0
2.875	18.4
2.869	19.0
2.864	20.3
2.859	22.6
2.853	25.6
2.848	28.7
2.843	31.0
2.837	31.8
2.832	31.2
2.827	30.8
2.821	31.5
2.816	32.8
2.811	33.6
2.805	33.0
2.800	30.5
2.795	27.2
2.789	24.3
2.784	22.6
2.779	21.3
2.773	19.8
2.768	18.0
2.763	16.8
