&a 	I1
3.338	18.2
3.333	18.9
3.328	18.9
3.322	19.4
3.317	20.2
3.312	20.2
3.306	19.4
3.301	17.4
3.296	15.0
3.291	12.4
3.285	10.3
3.280	8.3
3.275	6.8
3.269	5.8
3.264	5.3
3.259	5.3
3.253	5.9
3.248	7.1
3.243	8.8
3.237	11.2
3.232	14.0
3.227	17.2
3.221	19.4
3.216	19.9
3.211	20.1
3.205	21.0
3.200	21.9
3.195	21.8
3.189	20.2
3.184	17.6
3.179	14.8
3.173	12.1
3.168	10.0
3.163	8.4
3.157	7.2
3.152	6.3
3.147	5.9
3.141	5.9
3.136	6.3
3.131	7.0
3.125	8.4
3.120	10.4
3.115	13.2
3.109	16.8
3.104	20.0
3.099	21.6
3.093	22.0
3.088	22.3
3.083	23.2
3.077	23.6
3.072	22.9
3.067	20.5
3.061	17.3
3.056	14.2
3.051	11.6
3.045	9.5
3.040	7.9
3.035	6.8
3.029	6.0
3.024	5.6
3.019	5.6
3.013	5.9
3.008	6.4
3.003	7.5
2.997	9.2
2.992	11.8
2.987	15.3
2.981	19.1
2.976	22.3
2.971	23.6
2.965	24.0
2.960	24.2
2.955	24.9
2.949	25.0
2.944	23.2
2.939	20.2
2.933	16.8
2.928	13.6
2.923	10.8
2.917	8.8
2.912	7.3
2.907	6.4
2.901	5.7
2.896	5.3
2.891	5.3
2.885	5.5
2.880	5.9
2.875	6.6
2.869	7.9
2.864	9.9
2.859	12.8
2.853	16.4
2.848	20.7
2.843	24.0
2.837	25.3
2.832	25.6
2.827	26.3
2.821	27.0
2.816	26.6
2.811	24.4
2.805	20.8
2.800	16.8
2.795	13.5
2.789	10.6
2.784	8.6
2.779	7.1
2.773	6.1
2.768	5.4
2.763	5.1
2.757	5.1
2.752	5.2
2.747	5.5
2.741	6.0
2.736	7.0
2.731	8.2
2.725	10.2
2.720	13.2
2.715	16.6
2.709	20.6
2.704	24.0
2.699	26.4
2.693	27.2
2.688	28.3
2.683	28.8
2.677	27.7
2.672	24.9
2.667	20.9
2.661	17.2
2.656	13.8
2.651	11.0
2.645	8.9
2.640	7.3
2.635	6.4
2.629	5.6
2.624	5.2
2.619	4.9
2.613	4.9
2.608	4.9
2.602	5.2
2.597	5.6
2.592	6.4
2.586	7.2
2.581	8.8
2.576	11.2
2.570	14.8
2.565	19.6
2.560	24.6
2.554	28.3
2.549	29.8
2.544	30.2
2.538	30.9
2.533	31.2
2.528	29.7
2.522	26.1
2.517	21.6
2.512	17.2
2.506	13.5
2.501	10.5
2.496	8.5
2.490	7.1
2.485	6.2
2.480	5.5
2.474	5.1
2.469	4.8
2.464	4.6
2.458	4.6
2.453	4.8
2.448	5.0
2.442	5.4
2.437	6.0
2.432	6.9
2.426	8.4
2.421	10.6
2.416	13.8
2.410	18.2
2.405	23.7
2.400	28.5
2.394	31.5
2.389	32.6
2.384	33.2
2.378	33.6
2.373	32.5
2.368	29.3
2.362	24.7
2.357	19.9
2.352	15.6
2.346	12.4
2.341	9.8
2.336	8.0
2.330	6.8
2.325	6.0
2.320	5.5
2.314	5.1
2.309	4.7
2.304	4.6
2.298	4.6
2.293	4.7
2.288	4.8
2.282	5.2
2.277	5.6
2.272	6.0
2.266	6.8
2.261	7.6
2.256	8.8
2.250	10.8
2.245	14.4
2.240	19.7
2.234	26.1
2.229	31.3
2.223	34.4
2.218	35.5
2.213	36.0
2.207	35.7
2.202	33.5
2.197	29.4
2.191	24.1
2.186	19.0
2.181	14.8
2.175	11.7
2.170	9.3
2.165	7.7
2.159	6.7
2.154	6.0
2.149	5.6
2.143	5.2
2.138	4.9
2.133	4.8
2.127	4.7
2.122	4.8
2.117	4.8
2.111	4.8
2.106	5.1
2.101	5.5
2.095	5.8
2.090	6.4
2.085	7.2
2.079	8.4
2.074	10.1
2.069	12.8
2.063	16.4
2.058	21.3
2.053	26.9
2.047	32.4
2.042	36.2
2.037	37.9
2.031	38.7
2.026	38.6
2.021	36.9
2.015	33.2
2.010	28.0
2.005	22.5
1.999	17.8
1.994	14.1
1.989	11.2
1.983	9.2
1.978	7.9
1.972	6.9
1.967	6.1
1.962	5.6
1.956	5.2
1.951	4.8
1.946	4.4
1.940	4.4
1.935	4.4
1.930	4.4
1.924	4.5
1.919	4.8
1.914	4.8
1.908	5.2
1.903	5.5
1.898	5.9
1.892	6.3
1.887	7.1
1.882	8.0
1.876	9.2
1.871	11.2
1.866	14.0
1.860	18.0
1.855	23.0
1.850	28.6
1.844	33.8
1.839	37.7
1.834	39.7
1.828	40.5
1.823	40.1
1.818	38.1
1.812	34.4
1.807	29.3
1.802	24.0
1.796	19.2
1.791	15.2
1.786	12.4
1.780	10.3
1.775	8.8
1.769	7.6
1.764	6.8
1.759	6.2
1.753	5.6
1.748	5.3
1.743	5.0
1.737	4.8
1.732	4.6
1.727	4.5
1.721	4.4
1.716	4.4
1.711	4.4
1.705	4.4
1.700	4.4
1.695	4.8
1.689	4.9
1.684	5.2
1.679	5.5
1.673	5.9
1.668	6.4
1.663	7.1
1.657	8.0
1.652	9.2
1.647	10.9
1.641	13.5
1.636	16.8
1.631	21.0
1.625	26.1
1.620	31.7
1.615	36.9
1.609	40.6
1.604	42.7
1.599	43.4
1.593	42.9
1.588	40.8
1.582	36.9
1.577	31.8
1.572	26.4
1.566	21.5
1.561	17.2
1.556	14.0
1.550	11.6
1.545	9.8
1.540	8.6
1.534	7.6
1.529	6.8
1.524	6.4
1.518	6.0
1.513	5.6
1.508	5.2
1.502	4.9
1.497	4.7
1.492	4.5
1.486	4.4
1.481	4.4
1.476	4.4
1.470	4.4
1.465	4.4
1.460	4.4
1.454	4.4
1.449	4.4
1.444	4.5
1.438	4.8
1.433	5.0
1.428	5.3
1.422	5.6
1.417	6.0
1.411	6.4
1.406	6.8
1.401	7.6
1.395	8.4
1.390	9.6
1.385	11.2
1.379	13.2
1.374	16.0
1.369	19.6
1.363	23.1
1.358	27.5
1.353	31.8
1.347	36.6
1.342	40.6
1.337	43.9
1.331	45.7
1.326	46.3
1.321	45.2
1.315	42.4
1.310	38.0
1.305	33.0
1.299	27.8
1.294	23.4
1.289	19.4
1.283	16.2
1.278	13.6
1.273	11.6
1.267	10.2
1.262	9.0
1.256	8.2
1.251	7.4
1.246	6.8
1.240	6.4
1.235	6.0
1.230	5.6
1.224	5.4
1.219	5.2
1.214	5.1
1.208	4.9
1.203	4.8
1.198	4.7
1.192	4.6
1.187	4.5
1.182	4.4
1.176	4.4
1.171	4.4
1.166	4.4
1.160	4.4
1.155	4.4
1.150	4.4
1.144	4.4
1.139	4.4
1.134	4.8
1.128	4.8
1.123	4.8
1.118	4.9
1.112	5.0
1.107	5.4
1.101	5.6
1.096	6.0
1.091	6.4
1.085	6.8
1.080	7.2
1.075	7.9
1.069	8.7
1.064	9.5
1.059	10.4
1.053	11.7
1.048	13.3
1.043	15.2
1.037	17.6
1.032	20.7
1.027	24.7
1.021	29.0
1.016	33.6
1.011	38.0
1.005	42.4
1.000	45.8
0.995	48.5
0.989	50.1
0.984	50.9
0.979	50.4
0.973	49.1
0.968	46.6
0.962	43.1
0.957	39.1
0.952	34.4
0.946	29.9
0.941	25.6
0.936	22.0
0.930	19.2
0.925	16.9
0.920	14.9
0.914	13.1
0.909	11.4
0.904	9.8
0.898	8.4
0.893	7.6
0.888	6.8
0.882	6.4
0.877	6.4
0.872	6.4
0.866	6.4
0.861	6.4
0.856	6.4
0.850	6.1
0.845	6.0
0.840	5.8
0.834	5.6
0.829	5.6
0.823	5.3
0.818	5.2
0.813	5.2
0.807	5.1
0.802	4.9
0.797	4.8
0.791	4.8
0.786	4.8
0.781	4.7
0.775	4.6
0.770	4.5
0.765	4.5
0.759	4.4
0.754	4.4
0.749	4.4
0.743	4.4
0.738	4.4
0.733	4.4
0.727	4.4
0.722	4.4
0.717	4.4
0.711	4.4
0.706	4.5
0.701	4.7
0.695	4.7
0.690	4.8
0.684	4.8
0.679	4.8
0.674	4.8
0.668	5.0
0.663	5.1
0.658	5.2
0.652	5.2
0.647	5.4
0.642	5.6
0.636	5.6
0.631	5.8
0.626	6.0
0.620	6.1
0.615	6.4
0.610	6.5
