&a / 	I1 /
5.459	0.3
5.454	0.3
5.449	0.3
5.443	0.3
5.438	0.3
5.433	0.3
5.428	0.2
5.422	0.2
5.417	0.2
5.412	0.2
5.406	0.2
5.401	0.2
5.396	0.2
5.390	0.2
5.385	0.2
5.380	0.2
5.375	0.2
5.369	0.2
5.364	0.2
5.359	0.2
5.353	0.2
5.348	0.2
5.343	0.2
5.337	0.2
5.332	0.2
5.327	0.2
5.322	0.2
5.316	0.2
5.311	0.2
5.306	0.2
5.300	0.2
5.295	0.2
5.290	0.2
5.284	0.2
5.279	0.2
5.274	0.2
5.269	0.2
5.263	0.2
5.258	0.2
5.253	0.3
5.247	0.3
5.242	0.3
5.237	0.3
5.231	0.3
5.226	0.3
5.221	0.3
5.216	0.3
5.210	0.3
5.205	0.3
5.200	0.3
5.194	0.3
5.189	0.4
5.184	0.4
5.178	0.4
5.173	0.4
5.168	0.4
5.162	0.4
5.157	0.4
5.152	0.4
5.147	0.4
5.141	0.4
5.136	0.4
5.131	0.4
5.125	0.4
5.120	0.4
5.115	0.4
5.109	0.4
5.104	0.4
5.099	0.4
5.094	0.4
5.088	0.4
5.083	0.4
5.078	0.4
5.072	0.4
5.067	0.4
5.062	0.4
5.056	0.4
5.051	0.4
5.046	0.4
5.040	0.4
5.035	0.4
5.030	0.4
5.025	0.4
5.019	0.4
5.014	0.4
5.009	0.4
5.003	0.4
4.998	0.4
4.993	0.4
4.987	0.4
4.982	0.4
4.977	0.4
4.971	0.4
4.966	0.5
4.961	0.5
4.956	0.5
4.950	0.5
4.945	0.5
4.940	0.5
4.934	0.6
4.929	0.6
4.924	0.7
4.918	0.7
4.913	0.7
4.908	0.7
4.902	0.8
4.897	0.8
4.892	0.8
4.887	0.8
4.881	0.8
4.876	0.8
4.871	0.8
4.865	0.8
4.860	0.8
4.855	0.8
4.849	0.8
4.844	0.8
4.839	0.8
4.833	0.8
4.828	0.8
4.823	0.8
4.818	0.8
4.812	0.8
4.807	0.8
4.802	0.8
4.796	0.9
4.791	0.9
4.786	1.1
4.780	1.1
4.775	1.2
4.770	1.2
4.764	1.2
4.759	1.2
4.754	1.2
4.748	1.2
4.743	1.3
4.738	1.3
4.733	1.3
4.727	1.3
4.722	1.4
4.717	1.4
4.711	1.6
4.706	1.6
4.701	1.6
4.695	1.7
4.690	2.0
4.685	2.0
4.679	2.3
4.674	2.4
4.669	2.4
4.663	2.4
4.658	2.4
4.653	2.4
4.648	2.4
4.642	2.4
4.637	2.5
4.632	2.5
4.626	2.8
4.621	2.8
4.616	2.9
4.610	3.1
4.605	3.3
4.600	3.5
4.594	3.7
4.589	3.9
4.584	4.0
4.578	4.0
4.573	4.0
4.568	4.0
4.563	4.0
4.557	4.0
4.552	4.0
4.547	4.0
4.541	4.0
4.536	4.0
4.531	4.0
4.525	4.2
4.520	4.5
4.515	4.6
4.509	5.0
4.504	5.3
4.499	5.7
4.493	6.0
4.488	6.0
4.483	5.9
4.478	5.7
4.472	5.5
4.467	5.3
4.462	4.9
4.456	4.5
4.451	4.5
4.446	4.9
4.440	5.6
4.435	6.0
4.430	6.0
4.424	6.4
4.419	6.9
4.414	7.7
4.408	8.0
4.403	7.7
4.398	7.3
4.392	6.9
4.387	6.9
4.382	6.9
4.377	6.4
4.371	5.7
4.366	5.3
4.361	5.6
4.355	6.4
4.350	7.1
4.345	7.5
4.339	7.5
4.334	7.9
4.329	8.8
4.323	9.6
4.318	9.6
4.313	8.8
4.307	8.3
4.302	8.2
4.297	8.2
4.291	7.9
4.286	7.1
4.281	6.5
4.275	6.4
4.270	6.8
4.265	7.6
4.260	8.3
4.254	8.8
4.249	9.2
4.244	9.9
4.238	10.9
4.233	11.7
4.228	11.4
4.222	10.7
4.217	10.3
4.212	10.1
4.206	10.0
4.201	9.4
4.196	8.3
4.190	7.6
4.185	7.6
4.180	8.1
4.174	8.5
4.169	8.9
4.164	9.5
4.158	10.6
4.153	11.7
4.148	12.6
4.143	13.3
4.137	13.3
4.132	12.9
4.127	12.5
4.121	12.0
4.116	11.6
4.111	11.0
4.105	10.2
4.100	9.7
4.095	9.7
4.089	9.9
4.084	10.3
4.079	10.7
4.073	11.3
4.068	12.1
4.063	13.4
4.057	14.6
4.052	15.1
4.047	15.2
4.041	15.2
4.036	15.3
4.031	15.2
4.025	14.8
4.020	14.0
4.015	13.0
4.009	12.2
4.004	11.8
3.999	11.8
3.994	12.1
3.988	12.2
3.983	12.3
3.978	13.0
3.972	14.3
3.967	15.8
3.962	17.0
3.956	17.3
3.951	17.0
3.946	17.2
3.940	17.7
3.935	18.1
3.930	17.6
3.924	16.6
3.919	15.3
3.914	14.5
3.908	14.1
3.903	14.0
3.898	14.1
3.892	14.0
3.887	14.0
3.882	14.3
3.876	15.5
3.871	17.2
3.866	18.8
3.860	19.4
3.855	18.9
3.850	18.7
3.844	19.3
3.839	20.3
3.834	20.5
3.829	19.5
3.823	17.9
3.818	16.7
3.813	16.2
3.807	16.2
3.802	16.3
3.797	16.0
3.791	15.5
3.786	15.1
3.781	15.5
3.775	16.8
3.770	18.5
3.765	19.9
3.759	20.3
3.754	20.1
3.749	20.2
3.743	21.0
3.738	22.2
3.733	22.8
3.727	21.9
3.722	19.9
3.717	18.2
3.711	17.4
3.706	17.4
3.701	17.6
3.695	17.4
3.690	16.7
3.685	16.2
3.679	16.6
3.674	17.9
3.669	19.9
3.663	21.5
3.658	22.0
3.653	21.7
3.647	21.8
3.642	22.2
3.637	22.9
3.632	23.4
3.626	23.0
3.621	21.3
3.616	19.3
3.610	18.0
3.605	17.7
3.600	18.1
3.594	18.3
3.589	17.7
3.584	16.9
3.578	16.5
3.573	17.1
3.568	18.9
3.562	21.0
3.557	22.4
3.552	22.7
3.546	22.4
3.541	22.5
3.536	23.2
3.530	24.0
3.525	23.8
3.520	22.9
3.514	21.3
3.509	19.8
3.504	18.9
3.498	18.6
3.493	18.6
3.488	18.7
3.482	18.3
3.477	17.6
3.472	17.2
3.466	17.9
3.461	19.6
3.456	21.8
3.450	23.5
3.445	23.8
3.440	23.5
3.434	23.4
3.429	24.3
3.424	25.5
3.418	26.1
3.413	25.2
3.408	23.1
3.402	20.9
3.397	19.4
3.392	18.9
3.386	18.6
3.381	18.2
3.376	18.1
3.370	17.9
3.365	17.4
3.360	17.3
3.354	18.1
3.349	19.3
3.344	21.3
3.338	23.3
3.333	24.0
3.328	23.8
3.322	23.8
3.317	24.5
3.312	25.7
3.306	26.5
3.301	26.0
3.296	24.0
3.291	21.3
3.285	19.6
3.280	18.4
3.275	17.5
3.269	16.7
3.264	16.1
3.259	15.6
3.253	15.2
3.248	15.5
3.243	16.4
3.237	18.1
3.232	20.5
3.227	23.1
3.221	24.7
3.216	25.1
3.211	24.6
3.205	24.8
3.200	25.9
3.195	27.1
3.189	27.7
3.184	26.7
3.179	24.4
3.173	21.7
3.168	20.2
3.163	19.4
3.157	18.7
3.152	18.3
3.147	17.9
3.141	17.7
3.136	17.5
3.131	17.2
3.125	17.6
3.120	18.8
3.115	20.8
3.109	23.3
3.104	25.6
3.099	26.7
3.093	26.3
3.088	25.7
3.083	26.1
3.077	27.3
3.072	28.5
3.067	28.7
3.061	27.3
3.056	24.5
3.051	21.8
3.045	20.3
3.040	19.8
3.035	19.4
3.029	19.0
3.024	18.5
3.019	18.2
3.013	17.8
3.008	17.4
3.003	17.5
2.997	18.4
2.992	20.3
2.987	22.8
2.981	25.4
2.976	27.4
2.971	27.8
2.965	27.0
2.960	26.5
2.955	27.0
2.949	28.3
2.944	29.2
2.939	29.2
2.933	27.5
2.928	24.7
2.923	22.0
2.917	20.4
2.912	19.7
2.907	19.3
2.901	18.6
2.896	18.0
2.891	17.6
2.885	17.6
2.880	17.5
2.875	17.4
2.869	17.9
2.864	19.3
2.859	21.5
2.853	24.1
2.848	26.5
2.843	28.1
2.837	28.5
2.832	27.7
2.827	27.5
2.821	28.2
2.816	29.5
2.811	30.3
2.805	29.9
2.800	28.0
2.795	25.2
2.789	22.5
2.784	20.8
2.779	19.7
2.773	18.9
2.768	17.7
2.763	17.0
