&a 	I1
5.459	0.0
5.454	0.0
5.449	0.0
5.443	0.0
5.438	0.0
5.433	0.0
5.428	0.0
5.422	0.0
5.417	0.0
5.412	0.0
5.406	0.0
5.401	0.0
5.396	0.0
5.390	0.0
5.385	0.0
5.380	0.0
5.375	0.0
5.369	0.0
5.364	0.0
5.359	0.0
5.353	0.0
5.348	0.0
5.343	0.0
5.337	0.0
5.332	0.0
5.327	0.0
5.322	0.0
5.316	0.0
5.311	0.0
5.306	0.0
5.300	0.0
5.295	0.0
5.290	0.0
5.284	0.0
5.279	0.0
5.274	0.0
5.269	0.0
5.263	0.0
5.258	0.0
5.253	0.0
5.247	0.0
5.242	0.0
5.237	0.0
5.231	0.0
5.226	0.0
5.221	0.0
5.216	0.0
5.210	0.0
5.205	0.0
5.200	0.0
5.194	0.0
5.189	0.0
5.184	0.0
5.178	0.0
5.173	0.0
5.168	0.0
5.162	0.0
5.157	0.0
5.152	0.0
5.147	0.0
5.141	0.0
5.136	0.0
5.131	0.0
5.125	0.0
5.120	0.0
5.115	0.0
5.109	0.0
5.104	0.0
5.099	0.0
5.094	0.0
5.088	0.0
5.083	0.0
5.078	0.0
5.072	0.0
5.067	0.0
5.062	0.0
5.056	0.0
5.051	0.0
5.046	0.0
5.040	0.0
5.035	0.0
5.030	0.1
5.025	0.1
5.019	0.1
5.014	0.2
5.009	0.2
5.003	0.2
4.998	0.2
4.993	0.2
4.987	0.3
4.982	0.3
4.977	0.4
4.971	0.4
4.966	0.4
4.961	0.4
4.956	0.4
4.950	0.4
4.945	0.4
4.940	0.4
4.934	0.4
4.929	0.4
4.924	0.4
4.918	0.4
4.913	0.4
4.908	0.4
4.902	0.4
4.897	0.4
4.892	0.4
4.887	0.4
4.881	0.4
4.876	0.4
4.871	0.4
4.865	0.4
4.860	0.5
4.855	0.5
4.849	0.6
4.844	0.6
4.839	0.7
4.833	0.7
4.828	0.7
4.823	0.7
4.818	0.8
4.812	0.8
4.807	0.8
4.802	0.8
4.796	0.8
4.791	0.8
4.786	0.8
4.780	0.8
4.775	0.8
4.770	0.8
4.764	0.9
4.759	0.9
4.754	1.0
4.748	1.0
4.743	1.1
4.738	1.1
4.733	1.1
4.727	1.1
4.722	1.2
4.717	1.2
4.711	1.3
4.706	1.4
4.701	1.6
4.695	1.6
4.690	1.7
4.685	1.7
4.679	2.0
4.674	2.1
4.669	2.3
4.663	2.3
4.658	2.4
4.653	2.4
4.648	2.4
4.642	2.4
4.637	2.4
4.632	2.4
4.626	2.6
4.621	2.7
4.616	2.8
4.610	2.9
4.605	3.2
4.600	3.3
4.594	3.6
4.589	3.8
4.584	4.0
4.578	4.0
4.573	4.0
4.568	4.0
4.563	4.0
4.557	4.0
4.552	4.0
4.547	3.9
4.541	3.9
4.536	3.9
4.531	4.0
4.525	4.0
4.520	4.3
4.515	4.3
4.509	4.8
4.504	5.2
4.499	5.6
4.493	5.9
4.488	5.9
4.483	5.7
4.478	5.6
4.472	5.4
4.467	5.2
4.462	4.9
4.456	4.5
4.451	4.5
4.446	5.0
4.440	5.5
4.435	5.9
4.430	5.9
4.424	6.3
4.419	6.8
4.414	7.6
4.408	7.9
4.403	7.6
4.398	7.1
4.392	6.8
4.387	6.8
4.382	6.8
4.377	6.4
4.371	5.7
4.366	5.3
4.361	5.6
4.355	6.3
4.350	7.0
4.345	7.3
4.339	7.3
4.334	7.7
4.329	8.7
4.323	9.5
4.318	9.4
4.313	8.7
4.307	8.0
4.302	8.0
4.297	8.0
4.291	7.8
4.286	7.1
4.281	6.5
4.275	6.4
4.270	6.8
4.265	7.5
4.260	8.1
4.254	8.6
4.249	9.0
4.244	9.6
4.238	10.6
4.233	11.4
4.228	11.1
4.222	10.4
4.217	9.9
4.212	9.8
4.206	9.7
4.201	9.2
4.196	8.2
4.190	7.5
4.185	7.6
4.180	8.0
4.174	8.5
4.169	8.8
4.164	9.2
4.158	10.3
4.153	11.5
4.148	12.3
4.143	13.1
4.137	13.0
4.132	12.5
4.127	12.0
4.121	11.5
4.116	11.2
4.111	10.7
4.105	9.9
4.100	9.5
4.095	9.5
4.089	9.8
4.084	10.2
4.079	10.5
4.073	10.9
4.068	11.8
4.063	13.0
4.057	14.2
4.052	14.7
4.047	14.8
4.041	14.7
4.036	14.7
4.031	14.6
4.025	14.2
4.020	13.5
4.015	12.6
4.009	11.8
4.004	11.4
3.999	11.5
3.994	11.8
3.988	11.8
3.983	12.0
3.978	12.6
3.972	13.9
3.967	15.5
3.962	16.6
3.956	16.7
3.951	16.3
3.946	16.5
3.940	16.9
3.935	17.2
3.930	16.8
3.924	15.9
3.919	14.6
3.914	13.9
3.908	13.5
3.903	13.6
3.898	13.6
3.892	13.6
3.887	13.5
3.882	13.9
3.876	15.1
3.871	16.7
3.866	18.2
3.860	18.6
3.855	18.1
3.850	17.7
3.844	18.3
3.839	19.2
3.834	19.5
3.829	18.7
3.823	17.1
3.818	15.9
3.813	15.4
3.807	15.6
3.802	15.8
3.797	15.6
3.791	15.0
3.786	14.7
3.781	15.1
3.775	16.4
3.770	18.1
3.765	19.3
3.759	19.5
3.754	19.2
3.749	19.2
3.743	19.9
3.738	21.1
3.733	21.8
3.727	20.9
3.722	19.0
3.717	17.4
3.711	16.6
3.706	16.8
3.701	17.1
3.695	16.9
3.690	16.2
3.685	15.8
3.679	16.2
3.674	17.5
3.669	19.3
3.663	20.8
3.658	21.2
3.653	20.8
3.647	20.7
3.642	21.1
3.637	21.8
3.632	22.3
3.626	21.8
3.621	20.2
3.616	18.3
3.610	17.2
3.605	17.0
3.600	17.4
3.594	17.7
3.589	17.2
3.584	16.4
3.578	16.0
3.573	16.6
3.568	18.3
3.562	20.4
3.557	21.6
3.552	21.8
3.546	21.4
3.541	21.4
3.536	22.0
3.530	22.7
3.525	22.7
3.520	21.8
3.514	20.3
3.509	18.9
3.504	18.1
3.498	17.9
3.493	18.0
3.488	18.1
3.482	17.8
3.477	17.2
3.472	16.8
3.466	17.5
3.461	19.0
3.456	21.1
3.450	22.6
3.445	22.8
3.440	22.3
3.434	22.3
3.429	23.0
3.424	24.1
3.418	24.7
3.413	24.0
3.408	22.0
3.402	19.9
3.397	18.5
3.392	18.0
3.386	17.9
3.381	17.6
3.376	17.6
3.370	17.4
3.365	16.9
3.360	16.8
3.354	17.6
3.349	18.8
3.344	20.8
3.338	22.6
3.333	23.0
3.328	22.7
3.322	22.6
3.317	23.2
3.312	24.3
3.306	25.1
3.301	24.7
3.296	22.7
3.291	20.3
3.285	18.6
3.280	17.5
3.275	16.7
3.269	16.1
3.264	15.6
3.259	15.2
3.253	14.7
3.248	15.0
3.243	15.9
3.237	17.6
3.232	20.0
3.227	22.4
3.221	23.9
3.216	24.0
3.211	23.5
3.205	23.5
3.200	24.4
3.195	25.5
3.189	26.1
3.184	25.3
3.179	23.3
3.173	20.8
3.168	19.3
3.163	18.4
3.157	17.9
3.152	17.7
3.147	17.5
3.141	17.4
3.136	17.1
3.131	16.8
3.125	17.1
3.120	18.2
3.115	20.2
3.109	22.6
3.104	24.6
3.099	25.6
3.093	25.1
3.088	24.4
3.083	24.7
3.077	25.7
3.072	26.9
3.067	27.2
3.061	26.0
3.056	23.5
3.051	20.9
3.045	19.4
3.040	18.9
3.035	18.6
3.029	18.5
3.024	18.2
3.019	17.9
3.013	17.5
3.008	17.1
3.003	17.0
2.997	17.9
2.992	19.6
2.987	22.0
2.981	24.4
2.976	26.3
2.971	26.7
2.965	25.9
2.960	25.1
2.955	25.5
2.949	26.7
2.944	27.6
2.939	27.7
2.933	26.3
2.928	23.7
2.923	21.1
2.917	19.5
2.912	18.9
2.907	18.5
2.901	18.1
2.896	17.7
2.891	17.6
2.885	17.4
2.880	17.2
2.875	16.9
2.869	17.4
2.864	18.7
2.859	20.8
2.853	23.2
2.848	25.5
2.843	27.1
2.837	27.4
2.832	26.6
2.827	26.2
2.821	26.7
2.816	27.9
2.811	28.6
2.805	28.3
2.800	26.8
2.795	24.3
2.789	21.6
2.784	19.9
2.779	18.8
2.773	18.1
2.768	17.3
2.763	16.7
2.757	16.5
2.752	16.8
2.747	17.2
2.741	17.3
2.736	17.7
2.731	18.4
2.725	19.9
2.720	22.0
2.715	23.7
2.709	25.5
2.704	26.8
2.699	27.6
2.693	27.1
2.688	26.8
2.683	27.1
2.677	27.6
2.672	28.0
2.667	27.6
2.661	26.8
2.656	25.2
2.651	23.1
2.645	21.2
2.640	20.2
2.635	19.7
2.629	18.9
2.624	18.0
2.619	17.1
2.613	16.8
2.608	16.9
2.602	17.4
2.597	17.7
2.592	17.9
2.586	18.5
2.581	19.9
2.576	21.5
2.570	23.3
2.565	25.3
2.560	27.3
2.554	28.9
2.549	29.2
2.544	28.6
2.538	28.3
2.533	28.8
