I_A1 / A	B_B1 / mT
0.00	0
0.00	0
0.00	0
-0.01	0
-0.01	0
0.00	0
0.00	0
-0.01	0
-0.01	0
0.00	0
0.00	0
0.00	0
-0.01	0
0.00	0
0.00	0
-0.01	0
-0.01	0
0.00	0
0.00	1
0.00	0
0.00	0
0.00	0
0.00	0
-0.01	0
-0.01	0
0.00	0
0.00	0
-0.01	0
-0.01	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.25	17
0.79	54
0.50	36
0.69	48
0.57	41
0.64	45
0.62	44
0.88	61
0.75	53
0.97	68
0.85	61
1.00	71
1.01	71
1.09	77
1.27	91
1.16	84
1.22	88
1.20	87
1.26	90
1.22	89
1.26	90
1.30	93
1.28	92
1.28	93
1.31	94
1.76	128
1.48	109
1.68	123
1.57	115
1.64	119
1.62	119
1.68	123
1.65	121
1.66	121
1.80	131
1.74	128
1.80	131
1.76	129
1.95	142
1.84	136
1.88	138
1.85	136
1.86	137
1.86	137
1.87	137
1.87	137
1.88	138
1.88	138
2.03	149
2.34	172
2.30	169
2.39	176
2.40	177
2.56	189
2.63	194
2.82	210
2.90	216
2.93	217
2.90	216
2.98	221
2.96	220
3.00	222
3.06	227
3.07	228
3.36	249
3.18	239
3.26	243
3.18	238
3.22	240
3.19	239
3.20	240
3.20	240
3.22	241
3.25	242
3.25	242
3.26	243
3.26	243
3.70	275
3.80	285
3.77	282
3.74	281
3.77	283
3.71	278
3.82	285
3.73	281
3.80	284
3.76	282
3.79	285
4.11	306
3.94	295
4.04	302
3.99	298
4.21	314
4.14	310
4.20	313
4.25	316
4.33	322
4.29	319
4.30	320
4.29	320
4.29	320
4.30	321
4.53	336
4.42	330
4.50	335
4.64	344
4.68	347
4.87	361
4.75	355
4.80	357
4.98	368
4.97	369
5.00	371
4.99	370
5.06	374
5.01	371
5.04	372
5.09	376
5.23	386
5.19	384
5.22	385
5.20	384
5.21	384
5.33	392
5.30	392
5.34	394
5.41	398
5.42	399
5.43	399
5.58	408
5.59	410
5.62	411
5.58	409
5.63	411
5.74	417
5.72	417
5.76	419
5.73	418
5.75	419
5.74	418
5.75	419
5.74	418
5.75	419
5.75	419
5.83	423
5.82	423
5.83	424
5.84	424
5.89	427
5.87	426
5.89	427
5.94	430
6.05	435
6.09	438
6.17	442
6.21	444
6.20	444
6.24	445
6.25	446
6.32	449
6.30	449
6.37	451
6.36	451
6.40	453
6.42	454
6.42	454
6.41	455
6.41	454
6.44	455
6.43	454
6.50	457
6.50	458
6.64	464
6.65	464
6.72	467
6.72	468
6.81	471
6.88	474
6.98	477
7.04	480
7.09	481
7.10	482
7.12	483
7.20	486
7.24	487
7.24	487
7.26	488
7.35	491
7.34	490
7.35	491
7.36	492
7.40	492
7.42	493
7.40	493
7.41	493
7.49	495
7.55	498
7.59	499
7.61	500
7.73	503
7.81	505
7.81	506
7.88	507
7.92	509
7.97	511
7.96	510
8.06	513
8.04	512
8.04	513
8.07	514
8.06	513
8.07	513
8.14	515
8.14	515
8.14	515
8.14	515
8.14	515
8.14	515
8.21	517
8.23	517
8.26	518
8.26	518
8.35	521
8.34	521
8.33	520
8.36	521
8.38	522
8.39	522
8.44	524
8.48	525
8.50	525
8.53	526
8.58	527
8.61	528
8.61	528
8.61	528
8.72	531
8.72	531
8.72	531
8.73	531
8.75	532
8.76	531
8.77	532
8.90	535
8.92	536
8.95	537
8.95	536
8.96	536
8.98	538
9.00	537
9.01	538
9.02	538
9.19	542
9.16	541
9.25	543
9.28	544
9.34	545
9.37	547
9.41	547
9.50	549
9.51	550
9.50	549
9.50	549
9.50	550
9.50	549
9.50	550
9.50	549
9.50	549
9.50	549
9.50	549
9.50	549
9.50	550
9.50	549
9.50	549
9.50	549
9.50	549
9.50	549
9.50	549
9.50	549
9.50	549
9.50	549
9.50	549
9.50	549
9.50	549
9.50	550
9.50	549
9.50	549
