&a / 	I1 /
3.344	22.2
3.338	24.5
3.333	25.5
3.328	25.5
3.322	25.2
3.317	25.6
3.312	26.9
3.306	28.1
3.301	28.1
3.296	26.3
3.291	23.4
3.285	21.2
3.280	19.8
3.275	18.7
3.269	17.9
3.264	17.3
3.259	16.9
3.253	16.5
3.248	16.5
3.243	17.3
3.237	18.9
3.232	21.3
3.227	24.1
3.221	26.1
3.216	26.7
3.211	26.4
3.205	26.3
3.200	27.1
3.195	28.4
3.189	29.2
3.184	28.8
3.179	26.8
3.173	23.9
3.168	21.9
3.163	20.7
3.157	20.0
3.152	19.6
3.147	19.2
3.141	19.1
3.136	18.9
3.131	18.5
3.125	18.6
3.120	19.5
3.115	21.5
3.109	24.1
3.104	26.7
3.099	28.2
3.093	28.2
3.088	27.4
3.083	27.5
3.077	28.6
3.072	29.9
3.067	30.5
3.061	29.6
3.056	27.0
3.051	24.0
3.045	22.0
3.040	21.2
3.035	20.8
3.029	20.4
3.024	20.0
3.019	19.6
3.013	19.2
3.008	18.8
3.003	18.6
2.997	19.3
2.992	21.0
2.987	23.5
2.981	26.3
2.976	28.6
2.971	29.4
2.965	28.9
2.960	28.1
2.955	28.4
2.949	29.6
2.944	30.8
2.939	31.2
2.933	30.0
2.928	27.1
2.923	24.0
2.917	22.0
2.912	21.2
2.907	20.7
2.901	20.1
2.896	19.5
2.891	19.1
2.885	18.9
2.880	18.8
2.875	18.6
2.869	19.0
2.864	20.2
2.859	22.3
2.853	24.8
2.848	27.4
2.843	29.4
2.837	30.2
2.832	29.7
2.827	29.2
2.821	29.6
2.816	30.9
2.811	32.0
2.805	31.9
2.800	30.3
2.795	27.6
2.789	24.6
2.784	22.4
2.779	21.2
2.773	20.3
2.768	19.1
2.763	18.3
2.757	17.8
2.752	18.1
2.747	18.5
2.741	18.9
2.736	19.4
2.731	19.9
2.725	21.4
2.720	23.5
2.715	25.5
2.709	27.5
2.704	29.1
2.699	30.3
2.693	30.1
2.688	29.8
2.683	29.9
2.677	30.6
2.672	31.2
2.667	31.1
2.661	30.2
2.656	28.5
2.651	26.1
2.645	23.9
2.640	22.7
2.635	22.1
2.629	21.3
2.624	20.1
2.619	18.8
2.613	18.1
2.608	18.1
2.602	18.6
2.597	19.1
2.592	19.5
2.586	20.1
2.581	21.5
2.576	23.3
2.570	25.4
2.565	27.4
2.560	29.4
2.554	31.3
2.549	32.2
2.544	31.7
2.538	31.5
2.533	32.1
2.528	33.2
2.522	33.3
2.517	32.4
2.512	30.7
2.506	28.7
2.501	26.6
2.496	24.6
2.490	23.4
2.485	22.6
2.480	21.6
2.474	20.3
2.469	18.7
2.464	17.5
2.458	17.0
2.453	17.4
2.448	18.3
2.442	19.2
2.437	19.9
2.432	20.9
2.426	22.3
2.421	24.2
2.416	25.7
2.410	27.2
2.405	28.8
2.400	30.9
2.394	32.6
2.389	33.2
2.384	33.1
2.378	33.4
2.373	34.1
2.368	34.3
2.362	33.4
2.357	31.6
2.352	29.8
2.346	28.2
2.341	26.7
2.336	25.2
2.330	24.1
2.325	23.4
2.320	22.4
2.314	20.7
2.309	18.8
2.304	17.2
2.298	16.4
2.293	16.6
2.288	17.5
2.282	18.8
2.277	20.0
2.272	21.0
2.266	22.0
2.261	23.1
2.256	24.1
2.250	24.0
2.245	24.0
2.240	25.2
2.234	27.9
2.229	31.2
2.223	33.7
2.218	34.7
2.213	35.0
2.207	35.5
2.202	35.8
2.197	35.0
2.191	32.8
2.186	30.6
2.181	28.6
2.175	27.4
2.170	26.1
2.165	24.8
2.159	24.0
2.154	23.6
2.149	23.2
2.143	22.2
2.138	20.2
2.133	18.2
2.127	16.6
2.122	15.8
2.117	16.0
2.111	17.0
2.106	18.6
2.101	20.2
2.095	21.5
2.090	22.7
2.085	24.2
2.079	25.7
2.074	26.9
2.069	27.2
2.063	27.4
2.058	28.0
2.053	29.6
2.047	32.1
2.042	34.5
2.037	36.0
2.031	36.5
2.026	37.0
2.021	37.3
2.015	36.6
2.010	34.6
2.005	31.9
1.999	29.5
1.994	28.0
1.989	27.3
1.983	27.1
1.978	26.8
1.972	26.3
1.967	25.5
1.962	24.4
1.956	22.8
1.951	20.6
1.946	18.1
1.940	16.1
1.935	14.8
1.930	14.4
1.924	14.7
1.919	15.8
1.914	17.3
1.908	19.1
1.903	20.7
1.898	22.1
1.892	23.5
1.887	25.1
1.882	26.4
1.876	27.2
1.871	26.9
1.866	26.4
1.860	26.2
1.855	27.1
1.850	29.1
1.844	31.9
1.839	34.7
1.834	36.4
1.828	37.3
1.823	37.8
1.818	37.9
1.812	36.9
1.807	34.5
1.802	31.6
1.796	28.8
1.791	27.1
1.786	26.4
1.780	26.4
1.775	26.8
1.769	27.0
1.764	26.9
1.759	26.5
1.753	25.6
1.748	24.4
1.743	22.3
1.737	19.9
1.732	17.7
1.727	15.7
1.721	14.5
1.716	13.7
1.711	13.7
1.705	14.2
1.700	15.4
1.695	17.1
1.689	19.0
1.684	20.7
1.679	22.2
1.673	23.4
1.668	24.8
1.663	26.1
1.657	27.0
1.652	27.1
1.647	26.5
1.641	25.9
1.636	25.6
1.631	26.1
1.625	27.7
1.620	30.4
1.615	33.5
1.609	36.3
1.604	38.3
1.599	39.3
