&a / °	I1 / %
5.459	0.6
5.454	0.5
5.449	0.5
5.443	0.5
5.438	0.5
5.433	0.5
5.428	0.4
5.422	0.5
5.417	0.5
5.412	0.5
5.406	0.5
5.401	0.5
5.396	0.5
5.390	0.5
5.385	0.6
5.380	0.6
5.375	0.6
5.369	0.6
5.364	0.6
5.359	0.6
5.353	0.6
5.348	0.6
5.343	0.6
5.337	0.6
5.332	0.6
5.327	0.6
5.322	0.7
5.316	0.7
5.311	0.7
5.306	0.7
5.300	0.7
5.295	0.7
5.290	0.7
5.284	0.7
5.279	0.7
5.274	0.8
5.269	0.9
5.263	1.0
5.258	1.1
5.253	1.1
5.247	1.1
5.242	1.1
5.237	1.1
5.231	1.1
5.226	1.1
5.221	1.0
5.216	1.0
5.210	1.0
5.205	1.1
5.200	1.2
5.194	1.3
5.189	1.3
5.184	1.3
5.178	1.3
5.173	1.2
5.168	1.1
5.162	1.0
5.157	1.0
5.152	1.0
5.147	0.9
5.141	0.9
5.136	0.9
5.131	1.0
5.125	1.0
5.120	1.4
5.115	1.4
5.109	1.6
5.104	1.8
5.099	2.1
5.094	2.3
5.088	2.6
5.083	2.6
5.078	2.6
5.072	2.5
5.067	2.3
5.062	2.3
5.056	2.3
5.051	2.4
5.046	2.7
5.040	3.0
5.035	3.2
5.030	3.6
5.025	3.9
5.019	4.0
5.014	4.0
5.009	4.0
5.003	4.0
4.998	3.7
4.993	3.5
4.987	3.1
4.982	3.1
4.977	3.1
4.971	3.2
4.966	3.5
4.961	3.9
4.956	4.3
4.950	4.9
4.945	5.3
4.940	5.5
4.934	5.6
4.929	5.6
4.924	5.6
4.918	5.5
4.913	5.1
4.908	4.7
4.902	4.3
4.897	4.2
4.892	4.3
4.887	4.6
4.881	5.0
4.876	5.5
4.871	6.1
4.865	6.9
4.860	7.4
4.855	7.6
4.849	7.6
4.844	7.6
4.839	7.2
4.833	6.7
4.828	6.3
4.823	5.9
4.818	5.4
4.812	5.4
4.807	5.7
4.802	6.1
4.796	6.6
4.791	7.4
4.786	8.2
4.780	9.8
4.775	9.8
4.770	9.8
4.764	9.8
4.759	9.8
4.754	9.4
4.748	8.6
4.743	7.8
4.738	7.1
4.733	6.7
4.727	6.7
4.722	7.0
4.717	7.6
4.711	8.4
4.706	9.2
4.701	10.0
4.695	10.8
4.690	11.5
4.685	11.9
4.679	12.0
4.674	11.8
4.669	11.4
4.663	10.6
4.658	9.6
4.653	8.8
4.648	8.4
4.642	8.3
4.637	8.5
4.632	9.1
4.626	9.9
4.621	11.1
4.616	11.9
4.610	13.0
4.605	13.8
4.600	14.3
4.594	14.4
4.589	14.1
4.584	13.4
4.578	12.7
4.573	11.8
4.568	10.9
4.563	10.3
4.557	10.0
4.552	10.0
4.547	10.4
4.541	11.3
4.536	12.5
4.531	13.7
4.525	14.7
4.520	15.5
4.515	16.3
4.509	16.6
4.504	16.3
4.499	15.5
4.493	14.6
4.488	13.4
4.483	12.3
4.478	11.5
4.472	11.1
4.467	11.2
4.462	11.6
4.456	12.3
4.451	13.5
4.446	14.9
4.440	16.9
4.435	17.2
4.430	18.0
4.424	18.6
4.419	18.8
4.414	18.3
4.408	17.5
4.403	16.5
4.398	15.4
4.392	14.3
4.387	13.5
4.382	13.2
4.377	13.1
4.371	13.1
4.366	13.9
4.361	15.1
4.355	16.4
4.350	17.5
4.345	18.3
4.339	19.1
4.334	19.9
4.329	20.1
4.323	19.7
4.318	18.6
4.313	17.4
4.307	16.2
4.302	15.4
4.297	14.7
4.291	14.6
4.286	14.5
4.281	14.6
4.275	15.3
4.270	16.4
4.265	17.8
4.260	18.8
4.254	19.7
4.249	20.5
4.244	21.3
4.238	21.7
4.233	21.3
4.228	20.5
4.222	19.2
4.217	17.9
4.212	16.6
4.206	15.8
4.201	15.5
4.196	15.5
4.190	15.5
4.185	15.9
4.180	17.0
4.174	18.6
4.169	19.8
4.164	20.7
4.158	21.5
4.153	22.4
4.148	22.9
4.143	22.8
4.137	22.1
4.132	21.0
4.127	19.6
4.121	18.3
4.116	17.1
4.111	16.3
4.105	16.2
4.100	16.3
4.095	16.4
4.089	16.9
4.084	18.0
4.079	19.5
4.073	20.6
4.068	21.4
4.063	22.2
4.057	23.1
4.052	23.9
4.047	23.8
4.041	23.1
4.036	21.9
4.031	20.3
4.025	18.8
4.020	17.5
4.015	16.6
4.009	16.4
4.004	16.7
3.999	17.1
3.994	17.7
3.988	18.9
3.983	20.9
3.978	22.5
3.972	23.4
3.967	23.9
3.962	24.6
3.956	25.2
3.951	25.2
3.946	24.4
3.940	23.1
3.935	21.5
3.930	19.9
3.924	18.4
3.919	17.1
3.914	16.5
3.908	16.6
3.903	17.0
3.898	17.7
3.892	18.4
3.887	20.0
3.882	22.2
3.876	24.1
3.871	24.9
3.866	25.4
3.860	25.8
3.855	26.6
3.850	26.4
3.844	25.6
3.839	24.1
3.834	22.3
3.829	20.3
3.823	18.7
3.818	17.2
3.813	16.4
3.807	16.5
3.802	17.3
3.797	18.0
3.791	18.7
3.786	19.9
3.781	22.2
3.775	24.6
3.770	25.9
3.765	26.4
3.759	27.1
3.754	27.3
3.749	27.4
3.743	26.6
3.738	25.1
3.733	23.1
3.727	21.1
3.722	19.2
3.717	17.6
3.711	16.4
3.706	16.0
3.701	16.5
3.695	17.5
3.690	18.3
3.685	19.1
3.679	20.7
3.674	23.1
3.669	25.8
3.663	27.3
3.658	27.7
3.653	27.8
3.647	28.2
3.642	28.4
3.637	27.7
3.632	26.3
3.626	24.4
3.621	22.3
3.616	20.2
3.610	18.3
3.605	16.7
3.600	15.9
3.594	16.0
3.589	17.1
3.584	18.2
3.578	19.0
3.573	20.2
3.568	22.0
3.562	24.6
3.557	26.6
3.552	27.2
3.546	27.2
3.541	27.1
3.536	27.5
3.530	27.8
3.525	27.3
3.520	25.9
3.514	24.2
3.509	22.0
3.504	19.8
3.498	17.9
3.493	16.4
3.488	15.6
3.482	16.0
3.477	17.2
3.472	18.5
3.466	19.5
3.461	20.6
3.456	22.4
3.450	25.3
3.445	28.0
3.440	29.4
3.434	29.5
3.429	29.2
3.424	29.2
3.418	29.7
3.413	29.0
3.408	27.4
3.402	25.3
3.397	22.9
3.392	20.6
3.386	18.6
3.381	16.6
3.376	15.4
3.370	15.0
3.365	15.9
3.360	17.5
3.354	19.0
3.349	20.1
3.344	21.4
3.338	23.2
3.333	26.4
