I_A1 / A	B_B1 / mT
-0.04	0
-0.05	0
-0.04	0
-0.04	0
-0.04	0
-0.04	0
-0.04	0
-0.04	0
-0.04	0
-0.05	0
-0.04	0
-0.04	0
-0.04	0
-0.05	0
-0.04	0
-0.04	0
-0.05	0
-0.04	0
-0.05	0
-0.05	0
-0.04	0
-0.05	0
-0.05	0
-0.05	0
-0.05	0
-0.05	0
-0.04	1
-0.04	0
-0.05	0
-0.05	0
-0.04	0
-0.04	-1
-0.04	0
-0.04	0
-0.05	0
-0.04	0
-0.05	0
0.35	-24
0.46	-31
0.48	-32
0.51	-34
0.52	-35
0.50	-33
0.59	-39
0.54	-36
0.57	-38
0.55	-37
0.56	-37
0.56	-37
0.56	-37
0.56	-37
0.56	-37
0.56	-37
0.56	-37
0.56	-37
0.56	-37
0.56	-37
0.57	-37
0.56	-37
0.56	-37
0.56	-37
0.56	-37
0.58	-38
0.76	-50
0.80	-52
1.01	-65
0.90	-59
0.98	-64
0.92	-61
0.96	-63
0.94	-62
0.95	-62
0.94	-62
0.97	-64
0.94	-62
0.96	-63
0.95	-63
0.95	-62
0.96	-63
0.95	-62
0.95	-63
0.95	-62
0.95	-63
0.97	-63
0.95	-63
0.97	-64
0.97	-64
1.69	-110
1.05	-71
1.51	-100
1.00	-68
1.22	-81
1.04	-70
1.17	-78
1.08	-73
1.13	-76
1.09	-73
1.12	-75
1.14	-76
1.12	-75
1.13	-76
1.18	-78
1.17	-78
1.17	-78
1.17	-78
1.17	-77
1.16	-78
1.16	-77
1.25	-83
1.32	-87
1.29	-86
1.31	-87
1.30	-86
1.54	-101
1.44	-95
1.42	-94
1.53	-100
1.48	-97
1.52	-100
1.50	-98
1.51	-99
1.50	-99
1.49	-98
1.50	-98
1.49	-98
1.50	-98
1.50	-98
1.50	-98
1.52	-99
1.51	-99
1.52	-100
1.63	-106
1.65	-108
1.65	-108
1.64	-107
1.68	-110
1.69	-111
1.69	-111
1.69	-110
1.69	-110
1.70	-111
1.69	-110
1.68	-110
1.64	-107
1.66	-108
1.63	-107
1.73	-113
1.69	-111
1.85	-120
1.76	-116
1.93	-126
1.83	-120
1.96	-128
1.89	-124
1.93	-126
1.91	-125
1.92	-126
1.92	-126
1.92	-126
1.92	-126
1.92	-126
1.92	-126
1.95	-128
1.96	-128
2.06	-135
2.21	-144
2.13	-141
2.17	-142
2.21	-144
2.20	-144
2.21	-145
2.20	-144
2.21	-145
2.20	-144
2.21	-145
2.21	-144
2.21	-145
2.20	-144
2.21	-145
2.20	-144
2.21	-144
2.21	-145
2.20	-145
2.26	-148
2.48	-162
2.31	-153
2.41	-158
2.38	-157
2.40	-158
2.39	-157
2.39	-157
2.39	-157
2.39	-157
2.39	-157
2.39	-157
2.39	-157
2.38	-157
2.39	-157
2.39	-157
2.40	-157
2.41	-158
2.41	-159
2.42	-159
2.40	-158
2.42	-159
2.43	-160
2.56	-167
2.51	-165
2.57	-169
2.57	-169
2.58	-169
2.57	-168
2.58	-169
2.58	-169
2.58	-169
2.57	-169
2.58	-169
2.56	-168
2.57	-169
2.56	-168
2.57	-169
2.57	-169
2.63	-172
2.60	-171
2.63	-172
2.63	-172
2.63	-172
2.72	-178
2.69	-176
2.72	-178
2.70	-178
2.71	-178
2.71	-177
2.71	-178
2.70	-177
2.70	-177
2.70	-177
2.70	-177
2.70	-177
2.71	-178
3.12	-205
2.90	-192
3.05	-200
2.95	-195
3.01	-199
2.98	-196
3.00	-197
2.99	-197
2.99	-197
2.99	-197
2.99	-197
3.00	-197
2.99	-198
3.00	-197
2.99	-197
3.00	-197
3.02	-198
3.02	-199
3.02	-199
3.03	-199
3.21	-212
3.52	-231
3.34	-221
3.42	-225
3.38	-224
3.39	-224
3.39	-224
3.39	-224
3.39	-224
3.39	-224
3.39	-224
3.39	-224
3.39	-223
3.42	-225
3.41	-224
3.44	-226
3.41	-225
3.22	-214
3.38	-223
3.32	-220
3.37	-223
3.47	-229
3.88	-254
3.65	-242
3.75	-247
3.75	-247
3.73	-246
3.75	-247
3.73	-246
3.74	-247
3.74	-246
3.74	-246
3.75	-247
3.75	-247
3.75	-247
3.86	-254
3.99	-260
3.96	-259
3.98	-260
3.96	-259
3.97	-260
3.98	-260
3.98	-260
3.98	-261
3.98	-260
3.98	-260
3.98	-260
3.98	-260
3.98	-260
4.21	-275
4.64	-302
4.42	-291
4.54	-296
4.48	-294
4.52	-296
4.50	-295
4.51	-295
4.51	-295
4.51	-295
4.51	-295
4.51	-295
4.51	-295
4.51	-295
4.57	-299
4.94	-319
4.97	-321
4.94	-320
4.96	-321
4.95	-320
4.96	-321
4.95	-320
4.95	-320
4.95	-320
4.95	-320
4.95	-320
4.95	-320
4.94	-320
