&a / 	I1 /
3.344	19.1
3.338	21.2
3.333	24.3
3.328	27.3
3.322	29.2
3.317	29.7
3.312	30.1
3.306	30.3
3.301	30.1
3.296	28.9
3.291	26.9
3.285	24.5
3.280	21.8
3.275	19.4
3.269	17.1
3.264	15.1
3.259	13.5
3.253	12.4
3.248	11.9
3.243	12.3
3.237	13.9
3.232	16.2
3.227	18.3
3.221	20.0
3.216	22.4
3.211	25.6
3.205	28.8
3.200	30.6
3.195	31.2
3.189	31.6
3.184	31.9
3.179	31.5
3.173	30.2
3.168	27.9
3.163	25.3
3.157	22.5
3.152	20.0
3.147	17.6
3.141	15.4
3.136	13.8
3.131	12.5
3.125	11.7
3.120	11.8
3.115	12.9
3.109	15.0
3.104	17.3
3.099	19.3
3.093	21.4
3.088	24.2
3.083	27.8
3.077	32.9
3.072	33.3
3.067	33.1
3.061	33.0
3.056	33.1
3.051	32.5
3.045	30.9
3.040	28.5
3.035	25.8
3.029	23.0
3.024	20.2
3.019	17.8
3.013	15.5
3.008	13.8
3.003	12.4
2.997	11.6
2.992	11.4
2.987	12.1
2.981	13.9
2.976	16.4
2.971	18.8
2.965	20.8
2.960	23.0
2.955	26.1
2.949	29.8
2.944	32.3
2.939	33.4
2.933	33.3
2.928	33.3
2.923	33.4
2.917	32.9
2.912	31.5
2.907	29.2
2.901	26.4
2.896	23.6
2.891	20.7
2.885	18.1
2.880	15.8
2.875	13.9
2.869	12.4
2.864	11.6
2.859	11.2
2.853	11.5
2.848	12.7
2.843	14.9
2.837	17.4
2.832	19.9
2.827	21.8
2.821	24.2
2.816	27.5
2.811	31.3
2.805	33.8
2.800	34.7
2.795	34.6
2.789	34.5
2.784	34.5
2.779	34.1
2.773	32.6
2.768	30.5
2.763	27.7
2.757	24.9
2.752	22.0
2.747	19.2
2.741	16.8
2.736	13.5
2.731	12.4
2.725	11.6
2.720	11.1
2.715	11.1
2.709	11.5
2.704	12.8
2.699	15.1
2.693	17.9
2.688	20.3
2.683	22.1
2.677	24.1
2.672	26.9
2.667	30.1
2.661	32.6
2.656	34.1
2.651	34.6
2.645	34.7
2.640	35.1
2.635	35.2
2.629	34.5
2.624	32.9
2.619	30.5
