&a / 	I1 /
5.459	0.7
5.454	0.6
5.449	0.6
5.443	0.6
5.438	0.6
5.433	0.6
5.428	0.5
5.422	0.5
5.417	0.6
5.412	0.6
5.406	0.6
5.401	0.6
5.396	0.6
5.390	0.6
5.385	0.7
5.380	0.6
5.375	0.7
5.369	0.6
5.364	0.7
5.359	0.7
5.353	0.7
5.348	0.7
5.343	0.8
5.337	0.8
5.332	0.8
5.327	0.8
5.322	0.8
5.316	0.8
5.311	0.8
5.306	0.8
5.300	0.8
5.295	0.8
5.290	0.8
5.284	0.8
5.279	0.8
5.274	0.8
5.269	0.9
5.263	1.0
5.258	1.1
5.253	1.1
5.247	1.1
5.242	1.1
5.237	1.1
5.231	1.1
5.226	1.1
5.221	1.1
5.216	1.1
5.210	1.1
5.205	1.2
5.200	1.2
5.194	1.3
5.189	1.3
5.184	1.3
5.178	1.3
5.173	1.3
5.168	1.1
5.162	1.1
5.157	0.9
5.152	0.9
5.147	0.8
5.141	0.8
5.136	0.8
5.131	0.9
5.125	1.0
5.120	1.4
5.115	1.4
5.109	1.6
5.104	1.8
5.099	2.1
5.094	2.4
5.088	2.4
5.083	2.4
5.078	2.4
5.072	2.4
5.067	2.4
5.062	2.3
5.056	2.3
5.051	2.3
5.046	2.6
5.040	2.9
5.035	3.2
5.030	3.5
5.025	3.9
5.019	4.0
5.014	4.0
5.009	4.0
5.003	3.9
4.998	3.6
4.993	3.2
4.987	3.1
4.982	2.9
4.977	2.9
4.971	3.1
4.966	3.4
4.961	3.8
4.956	4.2
4.950	4.8
4.945	5.2
4.940	5.5
4.934	5.6
4.929	5.6
4.924	5.6
4.918	5.2
4.913	4.8
4.908	4.4
4.902	4.0
4.897	3.9
4.892	4.0
4.887	4.4
4.881	4.9
4.876	5.5
4.871	6.1
4.865	6.9
4.860	7.3
4.855	7.6
4.849	7.6
4.844	7.4
4.839	6.9
4.833	6.4
4.828	6.0
4.823	5.3
4.818	4.9
4.812	4.9
4.807	5.3
4.802	5.7
4.796	6.4
4.791	7.3
4.786	8.1
4.780	9.6
4.775	9.6
4.770	9.7
4.764	9.7
4.759	9.5
4.754	8.9
4.748	8.1
4.743	7.3
4.738	6.6
4.733	6.2
4.727	6.2
4.722	6.6
4.717	7.3
4.711	8.1
4.706	9.0
4.701	9.8
4.695	10.7
4.690	11.4
4.685	11.9
4.679	11.9
4.674	11.5
4.669	10.8
4.663	9.9
4.658	9.0
4.653	8.2
4.648	7.6
4.642	7.6
4.637	7.9
4.632	8.6
4.626	9.6
4.621	10.8
4.616	11.8
4.610	12.9
4.605	13.7
4.600	14.2
4.594	14.1
4.589	13.7
4.584	12.9
4.578	12.0
4.573	10.9
4.568	10.1
4.563	9.4
4.557	9.2
4.552	9.4
4.547	9.9
4.541	10.9
4.536	12.1
4.531	13.3
4.525	14.5
4.520	15.4
4.515	16.1
4.509	16.3
4.504	15.9
4.499	15.1
4.493	13.9
4.488	12.6
4.483	11.5
4.478	10.6
4.472	10.2
4.467	10.4
4.462	10.8
4.456	11.6
4.451	13.0
4.446	14.5
4.440	16.5
4.435	16.9
4.430	17.7
4.424	18.3
4.419	18.3
4.414	17.8
4.408	16.9
4.403	15.8
4.398	14.5
4.392	13.4
4.387	12.6
4.382	12.2
4.377	12.2
4.371	12.4
4.366	13.3
4.361	14.5
4.355	16.0
4.350	17.1
4.345	18.0
4.339	18.9
4.334	19.6
4.329	19.5
4.323	18.9
4.318	17.9
4.313	16.7
4.307	15.5
4.302	14.3
4.297	13.6
4.291	13.2
4.286	13.3
4.281	13.7
4.275	14.5
4.270	15.8
4.265	17.1
4.260	18.3
4.254	19.3
4.249	20.2
4.244	20.9
4.238	21.1
4.233	20.5
4.228	19.6
4.222	18.3
4.217	17.0
4.212	15.7
4.206	14.7
4.201	14.3
4.196	14.3
4.190	14.6
4.185	15.2
4.180	16.4
4.174	18.0
4.169	19.3
4.164	20.3
4.158	21.3
4.153	22.2
4.148	22.5
4.143	22.1
4.137	21.2
4.132	20.0
4.127	18.6
4.121	17.2
4.116	15.9
4.111	15.1
4.105	14.8
4.100	15.1
4.095	15.5
4.089	16.3
4.084	17.4
4.079	18.9
4.073	20.0
4.068	20.9
4.063	21.8
4.057	22.9
4.052	23.3
4.047	23.0
4.041	22.1
4.036	20.8
4.031	19.2
4.025	17.6
4.020	16.2
4.015	15.3
4.009	15.0
4.004	15.4
3.999	16.0
3.994	16.9
3.988	18.2
3.983	20.2
3.978	21.9
3.972	22.9
3.967	23.6
3.962	24.4
3.956	24.8
3.951	24.4
3.946	23.4
3.940	21.9
3.935	20.3
3.930	18.7
3.924	17.1
3.919	15.9
3.914	15.1
3.908	15.3
3.903	15.9
3.898	16.6
3.892	17.6
3.887	19.4
3.882	21.7
3.876	23.4
3.871	24.3
3.866	25.0
3.860	25.8
3.855	26.2
3.850	25.7
3.844	24.5
3.839	22.9
3.834	20.9
3.829	19.1
3.823	17.4
3.818	15.9
3.813	15.2
3.807	15.2
3.802	16.0
3.797	16.8
3.791	17.9
3.786	19.4
3.781	21.8
3.775	24.0
3.770	25.3
3.765	25.9
3.759	27.0
3.754	27.3
3.749	27.0
3.743	25.7
3.738	24.0
3.733	21.9
3.727	19.8
3.722	18.0
3.717	16.3
3.711	15.0
3.706	14.5
3.701	15.0
3.695	16.1
3.690	17.3
3.685	18.5
3.679	20.2
3.674	22.8
3.669	25.3
3.663	26.7
3.658	27.2
3.653	27.7
3.647	28.2
3.642	28.0
3.637	26.7
3.632	25.0
3.626	23.0
3.621	20.7
3.616	18.7
3.610	16.8
3.605	15.3
3.600	14.4
3.594	14.5
3.589	15.6
3.584	16.9
3.578	18.1
3.573	19.5
3.568	21.7
3.562	24.3
3.557	26.1
3.552	26.7
3.546	26.8
3.541	27.1
3.536	27.5
3.530	27.3
3.525	26.2
3.520	24.6
3.514	22.5
3.509	20.3
3.504	18.3
3.498	16.4
3.493	14.9
3.488	14.1
3.482	14.5
3.477	15.7
3.472	17.3
3.466	18.5
3.461	19.9
3.456	22.0
3.450	25.1
3.445	27.7
3.440	28.9
3.434	29.0
3.429	29.1
3.424	29.5
3.418	29.6
3.413	28.2
3.408	26.1
3.402	23.7
3.397	21.3
3.392	19.0
3.386	16.9
3.381	15.1
3.376	13.9
3.370	13.5
3.365	14.3
3.360	16.0
3.354	17.7
3.349	19.2
3.344	20.8
3.338	23.0
3.333	26.3
3.328	28.9
3.322	29.9
3.317	29.9
3.312	29.6
3.306	29.8
3.301	29.8
3.296	28.7
3.291	26.9
3.285	24.6
3.280	22.1
3.275	19.7
3.269	17.7
3.264	15.7
3.259	14.2
3.253	13.5
3.248	13.7
3.243	15.0
3.237	17.0
3.232	18.8
3.227	20.1
3.221	21.7
3.216	24.3
3.211	27.6
3.205	30.2
3.200	31.0
3.195	31.0
3.189	30.8
3.184	31.1
3.179	31.0
3.173	30.0
3.168	28.0
3.163	25.6
3.157	23.0
3.152	20.5
3.147	18.1
3.141	16.1
3.136	14.4
3.131	13.5
3.125	13.2
3.120	14.2
3.115	16.1
3.109	18.2
3.104	19.8
3.099	21.3
3.093	23.2
3.088	26.4
3.083	29.9
3.077	34.1
3.072	33.6
3.067	32.7
3.061	32.1
3.056	32.1
3.051	31.9
3.045	30.7
3.040	28.6
3.035	26.0
3.029	23.4
3.024	20.7
3.019	18.4
3.013	16.2
3.008	14.4
3.003	13.3
2.997	12.9
2.992	13.5
2.987	15.2
2.981	17.5
2.976	19.5
2.971	21.1
2.965	22.5
2.960	25.0
2.955	28.4
2.949	31.7
2.944	33.4
2.939	33.3
2.933	32.5
2.928	32.2
2.923	32.3
2.917	32.2
2.912	31.1
2.907	29.1
2.901	26.6
2.896	24.0
2.891	21.3
2.885	18.8
2.880	16.4
2.875	14.6
2.869	13.4
2.864	12.8
2.859	12.9
2.853	14.2
2.848	16.2
2.843	18.6
2.837	20.5
2.832	22.1
2.827	23.7
2.821	26.4
2.816	30.0
2.811	33.1
2.805	34.7
2.800	34.6
2.795	33.7
2.789	33.2
2.784	33.1
2.779	33.0
2.773	32.0
2.768	30.2
2.763	27.8
2.757	25.2
2.752	22.4
2.747	19.8
2.741	17.4
2.736	14.3
2.731	13.2
