I_A1 / A	B_B1 / mT
-0.04	0
-0.04	0
-0.05	0
-0.05	0
-0.04	0
-0.05	0
-0.05	0
-0.05	0
-0.05	0
-0.05	0
-0.04	0
-0.04	-1
-0.04	0
-0.05	0
-0.04	0
-0.05	0
-0.05	0
-0.05	0
-0.05	0
-0.05	0
-0.05	-1
-0.05	-1
-0.04	0
-0.04	0
-0.05	0
-0.05	0
-0.04	1
0.24	-17
0.53	-36
0.72	-47
0.59	-40
0.67	-44
0.65	-43
0.66	-43
0.65	-43
0.65	-43
0.66	-44
0.65	-43
0.66	-44
0.66	-43
0.66	-43
0.65	-43
0.64	-43
0.58	-39
0.61	-41
0.56	-38
0.59	-40
0.57	-39
0.59	-39
0.65	-43
0.64	-43
0.91	-60
1.12	-72
1.00	-66
1.13	-74
1.69	-110
1.36	-91
1.54	-101
1.44	-96
1.49	-98
1.49	-98
1.48	-98
1.48	-98
1.48	-98
1.48	-98
1.48	-98
1.48	-98
1.50	-98
1.52	-100
1.74	-113
1.70	-112
1.73	-112
1.72	-112
1.74	-113
1.76	-115
1.75	-114
1.76	-114
1.75	-114
1.76	-115
1.76	-115
1.81	-119
2.39	-156
2.06	-137
2.26	-148
2.15	-142
2.41	-158
2.39	-157
2.41	-159
2.39	-157
2.41	-158
2.40	-158
2.68	-176
2.66	-175
2.79	-183
2.69	-177
2.77	-182
2.83	-186
2.94	-192
2.88	-189
3.08	-202
3.09	-202
3.09	-204
3.22	-212
3.54	-232
3.96	-259
3.86	-254
4.09	-268
3.97	-261
4.04	-265
4.00	-263
4.13	-271
5.13	-330
4.63	-306
5.04	-326
4.87	-319
5.23	-336
5.17	-334
5.24	-337
5.24	-338
5.37	-343
5.52	-351
5.55	-352
5.66	-358
5.68	-359
5.73	-361
5.68	-360
5.74	-362
5.92	-370
5.94	-371
6.03	-375
6.07	-376
6.28	-385
6.58	-395
6.88	-405
6.86	-405
6.83	-404
6.83	-404
7.41	-420
7.75	-429
7.74	-429
7.72	-429
7.76	-430
8.08	-437
8.09	-438
8.44	-445
8.45	-445
8.45	-445
8.46	-445
8.46	-446
8.46	-446
8.46	-446
8.46	-446
8.46	-446
8.46	-446
8.46	-446
8.47	-446
8.47	-446
8.47	-446
8.47	-446
8.47	-446
8.47	-446
8.47	-446
8.47	-446
8.47	-446
8.47	-446
8.47	-446
8.47	-446
8.47	-446
8.47	-446
8.47	-446
