&a 	I1
3.338	23.9
3.333	23.1
3.328	23.5
3.322	22.7
3.317	20.3
3.312	17.1
3.306	13.9
3.301	11.4
3.296	9.5
3.291	8.3
3.285	7.8
3.280	7.7
3.275	8.6
3.269	10.8
3.264	13.7
3.259	15.5
3.253	16.2
3.248	16.7
3.243	19.4
3.237	24.7
3.232	28.3
3.227	27.5
3.221	25.1
3.216	23.8
3.211	23.9
3.205	23.7
3.200	22.1
3.195	19.2
3.189	15.9
3.184	13.1
3.179	10.9
3.173	9.4
3.168	8.5
3.163	8.1
3.157	8.4
3.152	10.0
3.147	13.6
3.141	17.9
3.136	20.3
3.131	20.6
3.125	20.7
3.120	23.4
3.115	28.1
3.109	30.5
3.104	29.8
3.099	27.0
3.093	25.1
3.088	24.8
3.083	24.7
3.077	23.4
3.072	20.7
3.067	17.2
3.061	14.1
3.056	11.7
3.051	10.0
3.045	9.0
3.040	8.6
3.035	8.6
3.029	9.5
3.024	12.0
3.019	16.4
3.013	20.0
3.008	21.6
3.003	21.4
2.997	21.8
2.992	25.3
2.987	30.5
2.981	32.8
2.976	31.3
2.971	28.3
2.965	26.3
2.960	25.8
2.955	25.6
2.949	24.4
2.944	22.0
2.939	18.8
2.933	15.6
2.928	12.8
2.923	10.8
2.917	9.6
2.912	8.8
2.907	8.4
2.901	8.8
2.896	10.1
2.891	13.6
2.885	18.3
2.880	21.4
2.875	22.2
2.869	21.9
2.864	22.5
2.859	26.1
2.853	31.0
2.848	33.4
2.843	32.4
2.837	29.5
2.832	27.1
2.827	26.4
2.821	26.4
2.816	25.9
2.811	23.9
2.805	20.7
2.800	17.2
2.795	14.2
2.789	11.8
2.784	10.1
2.779	8.9
2.773	8.2
2.768	8.1
2.763	8.6
2.757	10.3
2.752	13.8
2.747	18.6
2.741	22.2
2.736	25.3
2.731	24.1
2.725	23.6
2.720	26.2
2.715	31.1
2.709	34.2
2.704	33.5
2.699	30.6
2.693	28.1
2.688	26.6
2.683	26.2
2.677	25.8
2.672	24.7
2.667	22.8
2.661	20.0
2.656	16.8
2.651	14.0
2.645	11.9
2.640	10.4
