&a / °	I1 / %
3.344	24.6
3.338	23.5
3.333	21.2
3.328	19.9
3.322	19.6
3.317	19.5
3.312	18.8
3.306	17.1
3.301	14.6
3.296	12.2
3.291	10.1
3.285	8.9
3.280	8.4
3.275	9.2
3.269	11.1
3.264	13.2
3.259	14.5
3.253	14.9
3.248	14.9
3.243	16.4
3.237	20.2
3.232	24.4
3.227	25.9
3.221	24.8
3.216	22.4
3.211	20.8
3.205	20.4
3.200	20.4
3.195	20.0
3.189	18.6
3.184	16.4
3.179	13.9
3.173	11.7
3.168	10.1
3.163	9.2
3.157	9.2
3.152	10.8
3.147	14.1
3.141	17.3
3.136	18.7
3.131	18.3
3.125	17.6
3.120	18.4
3.115	22.0
3.109	26.1
3.104	28.0
3.099	26.5
3.093	23.8
3.088	21.9
3.083	21.3
3.077	21.3
3.072	21.1
3.067	19.9
3.061	17.9
3.056	15.3
3.051	13.0
3.045	11.1
3.040	9.9
3.035	9.5
3.029	10.3
3.024	12.8
3.019	16.3
3.013	19.0
3.008	19.7
3.003	18.9
2.997	18.3
2.992	19.7
2.987	23.7
2.981	27.7
2.976	29.3
2.971	27.7
2.965	24.8
2.960	22.5
2.955	21.6
2.949	21.6
2.944	21.7
2.939	20.8
2.933	19.0
2.928	16.6
2.923	14.1
2.917	11.9
2.912	10.4
2.907	9.5
2.901	9.5
2.896	10.9
2.891	14.1
2.885	17.5
2.880	19.7
2.875	20.0
2.869	19.2
2.864	18.6
2.859	20.0
2.853	23.9
2.848	28.0
2.843	30.0
2.837	28.8
2.832	26.0
2.827	23.5
2.821	22.3
2.816	22.2
2.811	22.2
2.805	21.7
2.800	20.3
2.795	18.0
2.789	15.3
2.784	12.8
2.779	10.8
2.773	9.6
2.768	9.0
2.763	9.4
2.757	11.0
2.752	14.2
2.747	18.0
2.741	20.4
2.736	22.2
2.731	20.7
2.725	19.5
2.720	20.1
2.715	23.1
2.709	26.7
2.704	29.1
2.699	29.4
2.693	27.6
2.688	24.5
2.683	22.1
2.677	21.3
2.672	21.3
2.667	21.7
2.661	21.4
2.656	20.1
2.651	18.1
2.645	15.7
2.640	13.3
2.635	11.5
2.629	10.2
2.624	9.5
2.619	9.5
2.613	10.7
2.608	13.3
2.602	17.0
2.597	20.1
2.592	21.5
2.586	21.1
2.581	19.9
2.576	19.0
2.570	20.2
2.565	24.0
2.560	28.5
2.554	31.2
2.549	31.0
2.544	28.4
2.538	25.4
2.533	23.0
2.528	22.1
2.522	22.1
2.517	22.1
2.512	21.8
2.506	20.8
2.501	19.1
2.496	16.8
2.490	14.4
2.485	12.3
2.480	10.8
2.474	9.8
2.469	9.3
2.464	9.5
2.458	10.6
2.453	13.0
2.448	16.5
2.442	19.7
2.437	21.5
2.432	21.5
2.426	20.3
2.421	19.2
2.416	19.2
2.410	21.5
2.405	25.7
2.400	29.7
2.394	31.6
2.389	30.9
2.384	28.1
2.378	25.0
2.373	22.5
2.368	21.5
2.362	21.4
2.357	21.9
2.352	21.9
2.346	21.4
2.341	20.0
2.336	18.1
2.330	15.6
2.325	13.3
2.320	11.5
2.314	10.3
2.309	9.5
2.304	9.3
2.298	9.6
2.293	10.8
2.288	12.9
2.282	16.2
2.277	19.5
2.272	21.7
2.266	22.1
2.261	20.7
2.256	18.4
2.250	16.8
2.245	17.0
2.240	19.7
2.234	24.6
2.229	29.6
2.223	31.9
2.218	31.2
2.213	28.4
2.207	25.1
2.202	22.4
2.197	20.8
2.191	20.4
2.186	21.0
2.181	21.7
2.175	21.3
2.170	20.2
2.165	18.5
2.159	16.8
2.154	14.9
2.149	13.0
2.143	11.4
2.138	10.3
2.133	9.6
2.127	9.2
2.122	9.3
2.117	10.0
2.111	11.5
2.106	14.1
2.101	17.5
2.095	20.6
2.090	22.4
2.085	22.4
2.079	21.5
2.074	20.0
2.069	18.9
2.063	18.9
2.058	20.6
2.053	24.1
2.047	28.5
2.042	31.7
2.037	32.6
2.031	31.0
2.026	27.9
2.021	24.5
2.015	22.0
2.010	20.6
2.005	20.3
1.999	20.8
1.994	21.5
1.989	21.9
1.983	21.7
1.978	20.6
1.972	18.8
1.967	16.6
1.962	14.4
1.956	12.3
1.951	10.7
1.946	9.6
1.940	9.2
1.935	8.9
1.930	9.0
1.924	9.3
1.919	10.2
1.914	11.7
1.908	14.1
1.903	17.3
1.898	20.2
1.892	22.0
1.887	22.6
1.882	21.9
1.876	20.6
1.871	19.2
1.866	18.3
1.860	18.3
1.855	20.1
1.850	23.5
1.844	27.8
1.839	31.3
1.834	32.9
1.828	31.9
1.823	29.2
1.818	25.9
1.812	23.1
1.807	21.1
1.802	20.0
1.796	20.0
1.791	20.6
1.786	21.5
1.780	22.2
1.775	22.5
1.769	22.0
1.764	20.7
1.759	18.8
1.753	16.8
1.748	14.7
1.743	12.9
1.737	11.5
1.732	10.5
1.727	9.7
1.721	9.3
1.716	9.2
1.711	9.1
1.705	9.5
1.700	10.2
1.695	11.4
1.689	13.5
1.684	16.3
1.679	19.3
1.673	21.6
1.668	22.9
1.663	23.2
1.657	22.4
1.652	21.1
1.647	19.6
1.641	18.6
1.636	18.3
1.631	19.0
1.625	20.9
1.620	24.5
1.615	28.9
1.609	32.9
1.604	34.9
1.599	34.6
1.593	32.3
1.588	29.1
1.582	25.7
1.577	22.9
1.572	21.0
1.566	20.2
1.561	20.1
1.556	20.4
1.550	21.1
1.545	22.1
1.540	22.9
1.534	23.6
1.529	23.3
1.524	22.2
1.518	20.4
1.513	18.4
1.508	16.2
1.502	14.2
1.497	12.6
1.492	11.4
1.486	10.4
1.481	9.7
1.476	9.2
1.470	9.0
1.465	9.0
1.460	9.3
1.454	9.7
1.449	10.2
1.444	11.0
1.438	12.4
1.433	14.4
1.428	17.0
1.422	19.9
1.417	22.6
1.411	24.4
1.406	25.1
1.401	24.8
1.395	23.7
1.390	22.2
1.385	20.7
1.379	19.5
1.374	18.8
1.369	18.8
1.363	19.5
1.358	21.0
1.353	23.6
1.347	27.2
1.342	31.4
1.337	35.1
1.331	37.1
1.326	36.8
1.321	34.4
1.315	31.0
1.310	27.5
1.305	24.4
1.299	22.2
1.294	20.7
1.289	19.9
1.283	19.8
1.278	20.2
1.273	20.9
1.267	22.0
1.262	23.2
1.256	24.2
1.251	24.5
1.246	24.3
1.240	23.6
1.235	22.8
1.230	21.5
1.224	19.7
1.219	17.8
1.214	16.0
1.208	14.4
1.203	13.1
1.198	11.9
1.192	11.1
1.187	10.5
1.182	10.0
1.176	9.6
1.171	9.4
1.166	9.4
1.160	9.4
1.155	9.3
1.150	9.3
1.144	9.7
1.139	10.5
1.134	11.3
1.128	12.5
1.123	13.7
1.118	15.1
1.112	16.9
1.107	19.2
1.101	21.6
1.096	23.5
1.091	24.8
1.085	25.6
1.080	25.9
1.075	25.4
1.069	24.2
1.064	22.9
1.059	21.5
1.053	20.3
1.048	19.2
1.043	18.4
1.037	18.1
1.032	18.4
1.027	19.3
1.021	20.9
1.016	23.1
1.011	25.9
1.005	29.3
1.000	33.1
0.995	36.4
0.989	38.9
0.984	39.8
0.979	39.2
0.973	37.3
0.968	34.7
0.962	31.8
0.957	29.0
0.952	25.9
0.946	23.2
0.941	21.2
0.936	20.2
0.930	19.7
0.925	19.3
0.920	19.2
0.914	19.2
0.909	18.7
0.904	17.8
0.898	17.3
0.893	17.3
0.888	17.7
0.882	18.8
0.877	20.6
0.872	22.8
0.866	24.6
0.861	25.5
0.856	25.5
0.850	24.8
0.845	23.4
0.840	21.7
0.834	20.2
0.829	18.7
0.823	17.2
0.818	15.7
0.813	14.4
0.807	13.2
0.802	12.4
0.797	11.7
0.791	11.0
0.786	10.6
0.781	10.2
0.775	10.0
0.770	9.7
0.765	9.6
0.759	9.4
0.754	9.3
0.749	9.3
0.743	9.3
0.738	9.3
0.733	9.3
0.727	9.3
0.722	9.5
0.717	9.7
0.711	10.0
0.706	10.2
0.701	10.5
0.695	10.9
0.690	11.3
0.684	11.8
0.679	12.6
0.674	13.4
0.668	14.3
0.663	15.4
0.658	16.6
0.652	18.0
0.647	19.3
0.642	20.5
0.636	21.8
0.631	23.3
0.626	24.5
0.620	25.3
0.615	26.0
0.610	26.2
0.604	26.2
0.599	25.9
0.594	25.6
0.588	25.1
0.583	24.4
0.578	23.6
0.572	22.7
0.567	22.0
0.561	21.4
0.556	20.9
0.551	20.4
0.545	19.7
0.540	19.2
0.535	18.8
0.529	18.4
0.524	18.1
0.519	18.0
0.513	17.9
0.508	17.9
0.503	18.0
0.497	18.1
0.492	18.1
0.487	18.4
0.481	19.0
0.476	20.0
0.471	21.1
0.465	22.2
0.460	23.3
0.455	24.5
0.449	25.9
0.444	27.4
0.438	28.8
0.433	30.2
0.428	31.6
0.422	33.2
0.417	34.6
0.412	35.9
0.406	37.1
0.401	37.9
0.396	38.4
0.390	38.8
0.385	38.8
0.380	38.5
0.374	38.1
0.369	37.6
0.364	36.6
0.358	35.7
0.353	34.6
0.348	33.7
0.342	32.9
0.337	32.1
0.332	31.2
0.326	30.2
0.321	29.2
0.316	28.3
0.310	27.4
0.305	26.4
0.299	25.6
0.294	24.7
0.289	23.9
0.283	23.1
0.278	22.4
0.273	21.9
0.267	21.3
0.262	20.8
0.257	20.4
0.251	20.1
0.246	19.8
0.241	19.7
0.235	19.4
0.230	19.2
0.225	19.0
0.219	18.9
0.214	18.6
0.209	18.5
0.203	18.5
0.198	18.5
0.193	18.5
0.187	18.5
0.182	18.5
0.176	18.5
0.171	18.5
0.166	18.4
0.160	18.4
0.155	18.4
0.150	18.4
0.144	18.5
0.139	18.5
0.134	18.5
0.128	18.5
0.123	18.6
0.118	18.7
0.112	18.8
0.107	18.8
0.102	18.9
0.096	18.9
0.091	19.0
0.086	19.0
0.080	19.1
0.075	19.1
0.070	19.1
0.064	19.1
0.059	19.2
0.053	19.2
0.048	19.2
0.043	19.3
0.037	19.3
0.032	19.3
0.027	19.4
0.021	19.4
0.016	19.5
0.011	19.5
0.005	19.6
0.000	19.8
-0.005	19.7
-0.011	19.5
-0.016	19.5
-0.021	19.5
-0.027	19.6
-0.032	19.6
-0.037	19.6
-0.043	19.6
-0.048	19.6
-0.053	19.6
-0.059	19.6
-0.064	19.6
-0.070	19.6
-0.075	19.5
-0.080	19.5
-0.086	19.5
-0.091	19.5
-0.096	19.4
-0.102	19.4
-0.107	19.1
-0.112	18.7
-0.118	18.4
-0.123	18.5
-0.128	18.9
-0.134	19.3
-0.139	19.4
-0.144	19.5
-0.150	19.5
-0.155	19.6
-0.160	19.6
-0.166	19.8
-0.171	20.0
-0.176	20.3
-0.182	20.5
-0.187	20.9
-0.193	21.2
-0.198	21.4
-0.203	21.6
-0.209	22.0
-0.214	22.6
-0.219	23.2
-0.225	23.8
-0.230	24.4
-0.235	25.0
-0.241	25.6
-0.246	26.2
-0.251	27.0
-0.257	27.8
-0.262	28.6
-0.267	29.5
-0.273	30.1
-0.278	30.5
-0.283	31.2
-0.289	32.3
-0.294	33.6
-0.299	34.4
-0.305	35.2
-0.310	35.9
-0.316	36.7
-0.321	37.2
-0.326	37.6
-0.332	38.0
-0.337	38.3
-0.342	38.4
-0.348	38.3
-0.353	37.9
-0.358	37.2
-0.364	36.5
-0.369	35.8
-0.374	35.0
-0.380	34.1
-0.385	33.0
-0.390	31.9
-0.396	30.6
-0.401	29.3
-0.406	28.1
-0.412	26.9
-0.417	25.7
-0.422	24.6
-0.428	23.5
-0.433	22.7
