anglr[deg]	Counts [w.E.]
40.0	0.10769333577693742
40.02512562814071	0.1258829542212269
40.050251256281406	0.10641600072257976
40.07537688442211	0.12412713028479222
40.10050251256281	0.13268042669802144
40.12562814070352	0.15811955617154058
40.15075376884422	0.14732546356149157
40.175879396984925	0.16026427248061212
40.20100502512563	0.1660994668098803
40.22613065326633	0.14003677744668636
40.25125628140704	0.12315484506861732
40.27638190954774	0.16802082406125715
40.301507537688444	0.16010397858601808
40.32663316582914	0.15698611581704194
40.35175879396985	0.1465112298460854
40.37688442211055	0.13731722824973308
40.402010050251256	0.14429511132445136
40.42713567839196	0.18781925271462901
40.45226130653266	0.15541791486805875
40.47738693467337	0.17055989553004638
40.50251256281407	0.19422925981012512
40.527638190954775	0.16858988567816305
40.552763819095475	0.1583613779198657
40.57788944723618	0.191145887650181
40.60301507537689	0.1714607190180462
40.62814070351759	0.1966820635173421
40.653266331658294	0.18628813963484064
40.678391959798994	0.20327003406790667
40.7035175879397	0.19198593113029971
40.7286432160804	0.1924733753836569
40.753768844221106	0.2201176099641995
40.778894472361806	0.2277846348452397
40.80402010050251	0.21877489865626848
40.82914572864322	0.23968329357491788
40.85427135678392	0.21636122688390366
40.879396984924625	0.24640516545515584
40.904522613065325	0.2499440472872974
40.92964824120603	0.2552365867199854
40.95477386934673	0.2686793695252803
40.97989949748744	0.2310532451119112
41.005025125628144	0.264475747179699
41.030150753768844	0.2830047199456649
41.05527638190955	0.272664121455148
41.08040201005025	0.2927812529297067
41.10552763819096	0.26839434375681115
41.130653266331656	0.2617934119992887
41.15577889447236	0.29655600960452827
41.18090452261306	0.30479468200539733
41.20603015075377	0.285503474445917
41.231155778894475	0.33138214265973065
41.256281407035175	0.3025019021423395
41.28140703517588	0.3101108541732326
41.30653266331658	0.3389059506475203
41.33165829145729	0.3342787674154148
41.35678391959799	0.36679821286585995
41.381909547738694	0.35073307096780726
41.4070351758794	0.3743849374761895
41.4321608040201	0.37267142760397104
41.45728643216081	0.4106365750550512
41.482412060301506	0.41850803303150563
41.50753768844221	0.46010286466595607
41.53266331658291	0.4594152911442925
41.55778894472362	0.49371947186240633
41.58291457286432	0.47446401171152347
41.608040201005025	0.5115343946231747
41.63316582914573	0.5286514248114627
41.65829145728643	0.5408533592632817
41.68341708542714	0.5884963470353599
41.70854271356784	0.6245447220974651
41.733668341708544	0.6558160287591045
41.75879396984924	0.7111625721943002
41.78391959798995	0.7739453856463182
41.80904522613066	0.9548855313627835
41.834170854271356	1.017500084304311
41.85929648241206	1.049716311055902
41.88442211055276	1.0095897997425967
41.90954773869347	1.0366855462235418
41.93467336683417	1.0073594077214099
41.959798994974875	1.011734438657583
41.984924623115575	1.009131319129063
42.01005025125628	1.0382544464336385
42.03517587939699	1.0282516802281791
42.06030150753769	1.0019469007597446
42.085427135678394	1.034163023266618
42.11055276381909	1.0024393774944655
42.1356783919598	1.0251972410111672
42.1608040201005	1.0259155515426053
42.185929648241206	1.029826433607419
42.21105527638191	1.026309514305387
42.23618090452261	1.013790301604485
42.26130653266332	1.006926841533989
42.28643216080402	1.0345249180955316
42.311557788944725	1.0008128085609524
42.336683417085425	1.0040524023172137
42.36180904522613	1.0470396030916413
42.38693467336684	1.0045777953431858
42.41206030150754	1.00743345716356
42.437185929648244	1.025506638432887
42.462311557788944	1.026437417704183
42.48743718592965	1.0058590130552498
42.51256281407035	1.0053458529562778
42.537688442211056	1.0012660492140237
42.562814070351756	1.0157073379048516
42.58793969849246	1.0318987470454706
42.61306532663317	1.031855448978987
42.63819095477387	1.0442954129589699
42.663316582914575	1.036826533117181
42.688442211055275	1.0195692128471283
42.71356783919598	1.037840098903931
42.73869346733668	1.0001624735281056
42.76381909547739	1.0330099442099683
42.78894472361809	1.0360702904932713
42.814070351758794	1.0061912854731723
42.8391959798995	1.019421972337871
42.8643216080402	1.041366912157206
42.88944723618091	1.0309633753691123
42.914572864321606	1.028296778188439
42.93969849246231	1.0017751435408244
42.96482412060301	1.0435038646162575
42.98994974874372	1.0066264530188165
43.015075376884425	1.0495781802084385
43.040201005025125	1.003026054891463
43.06532663316583	1.0422298716187168
43.09045226130653	1.0049418090805347
43.11557788944724	1.0382403794823725
43.14070351758794	1.028444757686577
43.165829145728644	1.0434049828084433
43.19095477386935	1.0031773632717844
43.21608040201005	1.0445745179189823
43.24120603015076	1.0330467022023275
43.266331658291456	1.0357623450681375
43.29145728643216	1.016171650592358
43.31658291457286	1.0110612682059532
43.34170854271357	1.0206984205648795
43.36683417085427	1.0095753187949428
43.391959798994975	1.0248611527070177
43.41708542713568	1.0079593830354316
43.44221105527638	1.0469390373444867
43.46733668341709	1.026173871370399
43.49246231155779	1.021515643323546
43.517587939698494	1.0163494967940532
43.54271356783919	1.04560527648683
43.5678391959799	1.0302737861046474
43.5929648241206	1.0251203877501593
43.618090452261306	1.0169137730255933
43.64321608040201	1.0242628888995384
43.66834170854271	1.0354982487870148
43.69346733668342	1.0374147654441803
43.71859296482412	1.0170915732907648
43.743718592964825	1.0115745718069145
43.768844221105525	1.0171449160378807
43.79396984924623	1.0133016271694006
43.81909547738694	1.0446633267162457
43.84422110552764	1.006441559454801
43.869346733668344	1.0035947163942156
43.89447236180904	1.0316334350638858
43.91959798994975	1.0411734173560951
43.94472361809045	1.0298091598300156
43.969849246231156	1.0194655968891406
43.99497487437186	1.0379879300025237
44.02010050251256	1.0148427387004026
44.04522613065327	1.0410035644987599
44.07035175879397	1.009877847418813
44.095477386934675	1.04201943098088
44.120603015075375	1.0170578825341385
