U_B / V	U_A / V
0.60	0.06
0.60	0.05
0.60	0.06
0.60	0.06
0.60	0.06
0.60	0.06
0.60	0.06
0.60	0.06
0.60	0.06
0.60	0.06
0.60	0.06
0.60	0.06
0.60	0.06
0.65	0.06
0.85	0.06
1.05	0.06
1.20	0.06
1.45	0.06
1.60	0.06
1.80	0.06
2.00	0.06
2.20	0.06
2.40	0.06
2.60	0.06
2.75	0.06
2.95	0.06
3.15	0.06
3.35	0.06
3.55	0.06
3.75	0.06
3.90	0.06
4.10	0.06
4.30	0.05
4.50	0.06
4.70	0.06
4.90	0.06
5.05	0.06
5.30	0.06
5.45	0.06
5.65	0.06
5.85	0.06
6.05	0.06
6.20	0.06
6.40	0.06
6.65	0.06
6.80	0.06
7.00	0.06
7.20	0.06
7.40	0.07
7.60	0.07
7.80	0.07
8.00	0.07
8.15	0.07
8.35	0.07
8.55	0.08
8.75	0.08
8.90	0.08
9.15	0.08
9.35	0.08
9.50	0.08
9.75	0.08
9.90	0.08
10.10	0.08
10.30	0.08
10.50	0.08
10.65	0.08
10.85	0.09
11.05	0.09
11.25	0.10
11.40	0.10
11.65	0.11
11.80	0.12
12.00	0.13
12.25	0.13
12.40	0.13
12.60	0.13
12.80	0.13
13.00	0.13
13.20	0.13
13.35	0.13
13.60	0.13
13.75	0.12
13.95	0.12
14.20	0.10
14.35	0.10
14.55	0.10
14.75	0.10
14.95	0.10
15.15	0.11
15.30	0.11
15.50	0.12
15.70	0.13
15.85	0.15
16.10	0.18
16.25	0.20
16.45	0.23
16.65	0.25
16.85	0.27
17.05	0.27
17.25	0.25
17.40	0.25
17.60	0.24
17.80	0.22
18.00	0.20
18.20	0.19
18.40	0.18
18.60	0.16
18.75	0.15
18.95	0.14
19.15	0.13
19.35	0.13
19.55	0.13
19.75	0.13
19.95	0.14
20.15	0.15
20.30	0.19
20.55	0.22
20.70	0.27
20.90	0.32
21.10	0.39
21.30	0.44
21.45	0.47
21.70	0.47
21.85	0.45
22.05	0.42
22.25	0.36
22.45	0.33
22.65	0.31
22.80	0.27
23.05	0.24
23.20	0.21
23.40	0.19
23.60	0.17
23.80	0.15
24.00	0.14
24.15	0.13
24.35	0.14
24.55	0.15
24.75	0.18
24.95	0.23
25.10	0.29
25.30	0.36
25.50	0.46
25.70	0.56
25.90	0.66
26.10	0.75
26.30	0.81
26.45	0.81
26.70	0.77
26.85	0.71
27.05	0.64
27.25	0.58
27.45	0.49
27.65	0.42
27.80	0.37
28.05	0.30
28.20	0.25
28.40	0.21
28.60	0.17
28.80	0.15
29.00	0.15
29.20	0.17
29.40	0.20
29.60	0.25
29.75	0.32
30.00	0.42
30.15	0.54
30.30	0.68
30.55	0.87
30.75	1.01
30.90	1.14
31.15	1.17
31.30	1.14
31.50	1.04
31.65	0.95
31.85	0.82
32.05	0.71
32.25	0.61
32.45	0.50
32.65	0.41
32.85	0.35
33.05	0.28
33.25	0.23
33.45	0.21
33.65	0.18
33.80	0.18
34.00	0.20
34.20	0.25
34.40	0.34
34.60	0.44
34.80	0.58
35.00	0.78
35.20	0.98
35.35	1.18
35.55	1.42
35.75	1.56
35.95	1.63
36.10	1.59
36.35	1.43
36.50	1.37
36.70	1.21
36.90	1.00
37.10	0.82
37.30	0.72
37.50	0.56
37.70	0.47
37.85	0.38
38.10	0.31
38.25	0.26
38.45	0.24
38.65	0.24
38.85	0.26
39.05	0.32
39.20	0.42
39.40	0.57
39.60	0.75
39.80	0.98
40.00	1.29
40.20	1.56
40.40	1.82
40.55	2.01
40.65	2.05
40.65	2.08
40.65	2.08
40.65	2.06
40.65	2.07
40.65	2.06
40.65	2.05
40.65	2.05
40.65	2.06
40.65	2.07
