U_B / V	U_A / V
0.60	0.05
0.60	0.05
0.60	0.04
0.60	0.05
0.60	0.04
0.60	0.05
0.60	0.05
0.60	0.05
0.60	0.04
0.60	0.05
0.60	0.05
0.60	0.05
0.60	0.05
0.70	0.05
0.90	0.05
1.10	0.05
1.30	0.05
1.45	0.05
1.65	0.05
1.85	0.05
2.05	0.05
2.25	0.05
2.45	0.05
2.65	0.05
2.85	0.05
3.05	0.05
3.20	0.04
3.40	0.04
3.60	0.05
3.80	0.05
3.95	0.05
4.20	0.05
4.35	0.05
4.55	0.05
4.75	0.05
4.95	0.05
5.15	0.05
5.35	0.05
5.50	0.05
5.70	0.05
5.90	0.05
6.10	0.06
6.30	0.07
6.50	0.07
6.70	0.07
6.85	0.07
7.05	0.08
7.25	0.08
7.45	0.08
7.65	0.08
7.85	0.09
8.05	0.08
8.25	0.08
8.45	0.08
8.65	0.08
8.85	0.08
9.00	0.07
9.20	0.07
9.40	0.07
9.60	0.07
9.75	0.07
10.00	0.08
10.15	0.08
10.35	0.10
10.55	0.11
10.75	0.14
10.90	0.16
11.15	0.20
11.30	0.23
11.50	0.26
11.70	0.26
11.90	0.26
12.10	0.25
12.25	0.24
12.50	0.22
12.70	0.21
12.85	0.19
13.10	0.17
13.25	0.15
13.45	0.15
13.65	0.13
13.85	0.12
14.05	0.10
14.20	0.10
14.40	0.10
14.60	0.11
14.80	0.13
15.00	0.16
15.20	0.20
15.40	0.26
15.60	0.33
15.80	0.42
15.95	0.51
16.15	0.63
16.35	0.71
16.50	0.74
16.70	0.72
16.95	0.66
17.10	0.59
17.30	0.52
17.50	0.44
17.70	0.38
17.90	0.33
18.05	0.28
18.25	0.24
18.45	0.20
18.65	0.18
18.85	0.15
19.05	0.14
19.25	0.14
19.45	0.17
19.60	0.21
19.80	0.27
20.00	0.37
20.20	0.48
20.40	0.62
20.60	0.82
20.80	1.04
20.95	1.23
21.15	1.41
21.40	1.57
21.55	1.60
21.75	1.54
21.95	1.37
22.15	1.22
22.30	1.05
22.55	0.86
22.70	0.71
22.90	0.59
23.10	0.46
23.30	0.37
23.50	0.31
23.65	0.26
23.85	0.23
24.05	0.23
24.25	0.26
24.45	0.33
24.65	0.43
24.85	0.57
25.05	0.77
25.25	1.00
25.40	1.26
25.60	1.57
25.80	1.98
25.95	2.34
26.15	2.67
26.40	2.90
26.55	2.89
26.75	2.76
26.95	2.57
27.15	2.27
27.30	2.00
27.50	1.61
27.70	1.34
27.90	1.08
28.10	0.88
28.30	0.67
28.50	0.54
28.70	0.45
28.90	0.42
29.10	0.43
29.25	0.50
29.45	0.62
29.65	0.82
29.85	1.05
30.00	1.36
30.25	1.80
30.40	2.26
30.60	2.76
30.80	3.37
31.00	3.92
31.20	4.45
31.40	4.81
31.60	4.92
31.75	4.76
31.95	4.42
32.15	4.19
32.35	3.74
32.50	3.21
32.75	2.57
32.95	2.08
33.15	1.71
33.30	1.36
33.50	1.20
33.70	1.00
33.90	0.92
34.10	0.91
34.30	0.97
34.45	1.17
34.65	1.47
34.85	1.83
35.05	2.30
35.25	2.95
35.45	3.65
35.60	4.44
35.85	5.40
36.00	6.27
36.20	7.00
36.40	7.75
36.60	8.02
36.80	8.13
36.95	8.14
37.20	7.63
37.35	7.00
37.55	6.24
37.75	5.39
37.95	4.78
38.15	4.01
38.35	3.62
38.55	3.13
38.70	2.41
38.90	2.20
39.10	2.20
39.30	2.40
39.50	2.54
39.70	2.92
39.90	3.44
40.05	4.14
40.25	5.19
40.45	6.14
40.65	7.26
40.65	7.40
40.65	7.40
40.65	7.42
40.65	7.41
40.65	7.44
40.65	7.44
40.65	7.44
40.65	7.46
40.65	7.47
40.65	7.44
40.65	7.43
40.65	7.45
40.65	7.43
40.65	7.41
40.65	7.43
40.65	7.40
40.65	7.43
