U_B / V	U_A / V
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.60	0.06
0.80	0.06
1.00	0.06
1.20	0.06
1.35	0.05
1.55	0.06
1.75	0.05
1.95	0.05
2.15	0.06
2.35	0.06
2.55	0.06
2.70	0.06
2.90	0.05
3.10	0.06
3.30	0.06
3.50	0.06
3.70	0.06
3.85	0.06
4.10	0.05
4.25	0.06
4.45	0.05
4.65	0.06
4.85	0.05
5.00	0.06
5.25	0.06
5.40	0.06
5.60	0.06
5.80	0.06
6.00	0.06
6.20	0.06
6.40	0.06
6.60	0.06
6.80	0.05
6.95	0.06
7.15	0.06
7.35	0.06
7.55	0.06
7.70	0.06
7.95	0.06
8.15	0.06
8.30	0.06
8.55	0.06
8.75	0.06
8.90	0.06
9.10	0.06
9.30	0.06
9.45	0.07
9.70	0.07
9.85	0.07
10.05	0.08
10.20	0.09
10.45	0.10
10.60	0.12
10.80	0.15
11.00	0.18
11.20	0.20
11.40	0.22
11.60	0.23
11.80	0.23
11.95	0.23
12.15	0.22
12.35	0.20
12.55	0.19
12.75	0.18
12.95	0.17
13.15	0.16
13.35	0.15
13.55	0.13
13.75	0.13
13.95	0.13
14.10	0.13
14.30	0.14
14.50	0.16
14.65	0.19
14.90	0.24
15.10	0.30
15.25	0.37
15.50	0.46
15.65	0.56
15.85	0.67
16.05	0.81
16.25	0.89
16.40	0.93
16.60	0.88
16.80	0.80
17.00	0.73
17.20	0.64
17.40	0.55
17.60	0.48
17.80	0.41
17.95	0.34
18.15	0.29
18.35	0.25
18.55	0.22
18.75	0.21
18.95	0.22
19.15	0.24
19.35	0.30
19.55	0.36
19.70	0.46
19.90	0.59
20.10	0.75
20.30	0.93
20.50	1.17
20.70	1.44
20.85	1.62
21.05	1.82
21.30	1.92
21.45	1.87
21.65	1.73
21.85	1.52
22.05	1.32
22.20	1.10
22.45	0.91
22.60	0.73
22.80	0.60
23.00	0.48
23.20	0.40
23.35	0.35
23.60	0.32
23.75	0.33
23.95	0.38
24.15	0.46
24.35	0.60
24.55	0.76
24.70	0.97
24.95	1.23
25.10	1.50
25.30	1.85
25.50	2.26
25.70	2.65
25.85	3.01
26.05	3.28
26.30	3.36
26.45	3.23
26.65	2.99
26.85	2.65
27.05	2.32
27.20	1.96
27.40	1.57
27.60	1.27
27.80	1.04
28.00	0.83
28.20	0.68
28.40	0.60
28.60	0.56
28.80	0.61
29.00	0.69
29.15	0.84
29.35	1.09
29.55	1.38
29.75	1.72
29.95	2.18
30.15	2.63
30.30	3.14
30.50	3.82
30.70	4.42
30.90	4.94
31.05	5.31
31.30	5.45
31.45	5.30
31.65	5.01
31.85	4.46
32.05	3.98
32.25	3.45
32.40	2.79
32.60	2.34
32.80	1.89
33.00	1.57
33.20	1.25
33.40	1.13
33.60	1.08
33.80	1.13
34.00	1.29
34.15	1.53
34.40	1.89
34.55	2.31
34.75	2.85
34.95	3.55
35.15	4.26
35.30	5.07
35.50	5.91
35.75	6.83
35.90	7.60
36.05	8.11
36.30	8.43
36.45	8.51
36.65	8.21
36.90	7.64
37.05	6.90
37.25	6.11
37.45	5.43
37.65	4.71
37.85	3.95
38.00	3.41
38.20	2.92
38.40	2.63
38.60	2.38
38.80	2.38
39.00	2.63
39.15	2.94
39.35	3.43
39.60	4.10
39.75	4.85
39.95	5.78
40.15	7.00
40.35	8.20
40.50	9.49
40.55	9.85
40.55	9.87
40.55	9.86
40.55	9.84
40.55	9.82
40.55	9.86
40.55	9.83
40.55	9.86
40.55	9.89
