U_B / V	U_A / V
0.80	0.06
0.80	0.05
0.80	0.06
0.80	0.05
0.80	0.06
0.80	0.05
0.80	0.06
0.80	0.05
0.80	0.06
0.80	0.05
0.80	0.06
0.95	0.06
1.15	0.06
1.35	0.06
1.55	0.06
1.70	0.06
1.90	0.06
2.10	0.06
2.30	0.06
2.50	0.06
2.70	0.06
2.90	0.06
3.05	0.06
3.30	0.06
3.45	0.06
3.65	0.06
3.85	0.05
4.05	0.06
4.20	0.05
4.40	0.06
4.60	0.05
4.80	0.05
5.00	0.05
5.20	0.05
5.40	0.05
5.55	0.05
5.75	0.05
5.95	0.06
6.15	0.05
6.30	0.06
6.55	0.05
6.75	0.06
6.90	0.06
7.10	0.06
7.30	0.06
7.50	0.06
7.70	0.06
7.90	0.06
8.05	0.06
8.25	0.06
8.45	0.06
8.65	0.06
8.85	0.06
9.05	0.06
9.20	0.06
9.40	0.06
9.60	0.06
9.80	0.06
10.00	0.06
10.20	0.06
10.40	0.06
10.60	0.06
10.75	0.07
10.95	0.07
11.15	0.08
11.35	0.09
11.55	0.10
11.75	0.11
11.90	0.11
12.15	0.10
12.30	0.10
12.50	0.10
12.70	0.10
12.90	0.09
13.10	0.09
13.30	0.08
13.50	0.08
13.65	0.07
13.85	0.07
14.10	0.07
14.25	0.06
14.40	0.06
14.65	0.06
14.80	0.06
15.00	0.06
15.20	0.06
15.40	0.07
15.60	0.08
15.80	0.11
16.00	0.15
16.20	0.19
16.35	0.22
16.55	0.24
16.75	0.24
16.95	0.24
17.15	0.22
17.35	0.20
17.55	0.17
17.70	0.16
17.95	0.14
18.10	0.13
18.30	0.11
18.50	0.10
18.70	0.09
18.90	0.08
19.10	0.07
19.30	0.07
19.45	0.06
19.65	0.06
19.85	0.06
20.05	0.07
20.25	0.09
20.45	0.13
20.65	0.18
20.80	0.25
21.05	0.36
21.20	0.45
21.40	0.52
21.60	0.54
21.80	0.52
22.00	0.48
22.20	0.43
22.40	0.35
22.55	0.30
22.75	0.25
22.95	0.21
23.15	0.18
23.35	0.16
23.55	0.12
23.75	0.12
23.90	0.09
24.10	0.08
24.30	0.07
24.50	0.07
24.65	0.07
24.85	0.09
25.05	0.12
25.25	0.18
25.45	0.26
25.65	0.38
25.85	0.53
26.05	0.72
26.20	0.86
26.40	0.96
26.60	0.98
26.80	0.95
27.00	0.91
27.15	0.84
27.35	0.67
27.55	0.57
27.75	0.47
27.95	0.41
28.15	0.33
28.30	0.26
28.55	0.20
28.70	0.17
28.90	0.14
29.10	0.12
29.30	0.11
29.50	0.10
29.65	0.11
29.90	0.15
30.05	0.23
30.25	0.33
30.45	0.52
30.65	0.73
30.85	0.98
31.05	1.27
31.25	1.50
31.40	1.65
31.60	1.69
31.80	1.64
32.00	1.58
32.20	1.52
32.40	1.36
32.60	1.16
32.75	0.92
33.00	0.78
33.20	0.65
33.35	0.53
33.55	0.44
33.75	0.35
33.95	0.29
34.10	0.23
34.35	0.20
34.55	0.19
34.70	0.22
34.90	0.31
35.10	0.43
35.30	0.61
35.50	0.92
35.70	1.26
35.90	1.66
36.05	2.06
36.30	2.44
36.45	2.69
36.65	2.92
36.85	3.02
37.05	3.03
37.20	2.81
37.40	2.57
37.60	2.23
37.80	2.05
38.00	1.72
38.20	1.35
38.40	1.17
38.60	1.02
38.80	0.82
38.95	0.61
39.15	0.55
39.35	0.46
39.55	0.45
39.70	0.48
39.95	0.61
40.15	0.80
40.30	1.13
40.50	1.60
40.70	2.12
40.85	2.62
40.85	2.62
40.85	2.66
40.85	2.63
40.85	2.67
40.85	2.69
40.85	2.64
40.85	2.56
40.85	2.61
40.85	2.62
40.85	2.59
40.85	2.59
40.85	2.59
