U_B / V	U_A / V
0.55	0.05
0.55	0.05
0.60	0.05
0.55	0.05
0.60	0.05
0.60	0.05
0.55	0.05
0.55	0.05
0.55	0.05
0.55	0.05
0.55	0.05
0.60	0.05
0.55	0.05
0.60	0.05
0.60	0.05
0.60	0.05
0.80	0.05
1.00	0.05
1.15	0.05
1.40	0.05
1.55	0.05
1.75	0.05
1.95	0.05
2.15	0.05
2.30	0.05
2.50	0.05
2.70	0.05
2.90	0.06
3.10	0.05
3.30	0.05
3.45	0.05
3.65	0.05
3.85	0.05
4.05	0.05
4.25	0.05
4.45	0.05
4.65	0.05
4.85	0.06
5.05	0.05
5.25	0.05
5.45	0.05
5.60	0.05
5.80	0.05
6.00	0.05
6.20	0.05
6.40	0.05
6.60	0.05
6.75	0.05
6.95	0.05
7.15	0.05
7.35	0.05
7.50	0.05
7.75	0.05
7.90	0.05
8.10	0.06
8.30	0.06
8.50	0.06
8.70	0.06
8.90	0.06
9.10	0.06
9.25	0.06
9.45	0.06
9.65	0.06
9.85	0.06
10.05	0.06
10.25	0.06
10.45	0.06
10.65	0.06
10.85	0.06
11.00	0.06
11.20	0.07
11.40	0.07
11.60	0.07
11.75	0.07
11.95	0.08
12.15	0.08
12.35	0.08
12.55	0.08
12.80	0.08
12.95	0.08
13.15	0.08
13.35	0.08
13.55	0.08
13.75	0.08
13.90	0.08
14.15	0.08
14.30	0.07
14.45	0.08
14.70	0.07
14.85	0.07
15.05	0.07
15.25	0.08
15.45	0.07
15.65	0.08
15.85	0.09
16.05	0.10
16.20	0.10
16.40	0.12
16.60	0.12
16.80	0.13
17.00	0.13
17.20	0.14
17.40	0.13
17.55	0.14
17.80	0.13
17.95	0.13
18.15	0.12
18.35	0.12
18.55	0.11
18.75	0.10
18.90	0.10
19.15	0.09
19.30	0.09
19.50	0.09
19.70	0.09
19.90	0.09
20.05	0.09
20.30	0.11
20.45	0.12
20.65	0.14
20.85	0.16
21.05	0.19
21.25	0.21
21.45	0.23
21.65	0.24
21.80	0.24
22.00	0.23
22.20	0.22
22.40	0.21
22.60	0.19
22.80	0.18
23.00	0.16
23.20	0.15
23.35	0.14
23.60	0.12
23.75	0.11
23.95	0.10
24.15	0.09
24.30	0.10
24.50	0.10
24.70	0.11
24.90	0.12
25.10	0.15
25.30	0.18
25.50	0.23
25.65	0.27
25.85	0.32
26.05	0.37
26.25	0.41
26.45	0.40
26.65	0.40
26.85	0.38
27.00	0.35
27.20	0.32
27.40	0.29
27.60	0.26
27.75	0.23
28.00	0.20
28.15	0.18
28.35	0.15
28.55	0.14
28.75	0.13
28.95	0.11
29.15	0.11
29.35	0.12
29.50	0.14
29.75	0.17
29.90	0.22
30.10	0.28
30.30	0.35
30.50	0.44
30.70	0.53
30.90	0.59
31.10	0.65
31.25	0.66
31.45	0.64
31.65	0.59
31.85	0.55
32.05	0.49
32.25	0.43
32.45	0.37
32.65	0.32
32.80	0.27
33.05	0.23
33.20	0.19
33.40	0.17
33.60	0.15
33.80	0.14
33.95	0.14
34.20	0.16
34.35	0.18
34.55	0.24
34.70	0.30
34.95	0.41
35.10	0.52
35.30	0.66
35.50	0.81
35.70	0.92
35.90	1.00
36.10	1.02
36.30	0.99
36.50	0.93
36.65	0.83
36.85	0.74
37.05	0.64
37.25	0.56
37.45	0.45
37.65	0.38
37.85	0.32
38.05	0.26
38.25	0.22
38.40	0.20
38.60	0.18
38.80	0.19
39.00	0.21
39.15	0.25
39.40	0.34
39.60	0.44
39.75	0.55
40.00	0.74
40.15	0.92
40.35	1.11
40.55	1.30
40.65	1.38
40.65	1.36
40.65	1.36
40.65	1.36
40.65	1.37
40.65	1.37
40.65	1.36
40.65	1.36
40.65	1.36
40.65	1.36
40.65	1.35
